Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Percy Jackson & the Olympians,1,Rick riordan books in order after percy jackson,https://trends.google.ca/trends/explore?q=rick+riordan+books+in+order+after+percy+jackson&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Percy Jackson & the Olympians,2,Percy jackson and the olympians disney plus,https://trends.google.ca/trends/explore?q=percy+jackson+and+the+olympians+disney+plus&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,3,When does season 2 of percy jackson come out,https://trends.google.ca/trends/explore?q=when+does+season+2+of+percy+jackson+come+out&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,4,Does grover die in percy jackson,https://trends.google.ca/trends/explore?q=does+grover+die+in+percy+jackson&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,5,Which cabin am i in percy jackson,https://trends.google.ca/trends/explore?q=which+cabin+am+i+in+percy+jackson&date=now+1-d&geo=US,+160%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,6,How old is percy jackson in the first book,https://trends.google.ca/trends/explore?q=how+old+is+percy+jackson+in+the+first+book&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,7,Dylan o'brien,https://trends.google.ca/trends/explore?q=dylan+o'brien&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,8,Daniel diemer,https://trends.google.ca/trends/explore?q=daniel+diemer&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,9,Goodreads,https://trends.google.ca/trends/explore?q=goodreads&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,10,Percy jackson second series,https://trends.google.ca/trends/explore?q=percy+jackson+second+series&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,11,Medusa percy jackson show,https://trends.google.ca/trends/explore?q=medusa+percy+jackson+show&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,12,Percy jackson necklace,https://trends.google.ca/trends/explore?q=percy+jackson+necklace&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,13,Luke castellan,https://trends.google.ca/trends/explore?q=luke+castellan&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,14,Percy jackson and the lightning thief full book,https://trends.google.ca/trends/explore?q=percy+jackson+and+the+lightning+thief+full+book&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,15,Percy jackson memes,https://trends.google.ca/trends/explore?q=percy+jackson+memes&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,16,Tantalus percy jackson,https://trends.google.ca/trends/explore?q=tantalus+percy+jackson&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,17,Maze runner,https://trends.google.ca/trends/explore?q=maze+runner&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,18,Percy jackson background,https://trends.google.ca/trends/explore?q=percy+jackson+background&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,19,Walker scobell height,https://trends.google.ca/trends/explore?q=walker+scobell+height&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,20,Dionysus,https://trends.google.ca/trends/explore?q=dionysus&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Percy Jackson & the Olympians,21,Percy jackson and the olympians release date,https://trends.google.ca/trends/explore?q=percy+jackson+and+the+olympians+release+date&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
