Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Power Rangers,1,Smile 2,https://trends.google.ca/trends/explore?q=smile+2&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Power Rangers,2,Power rangers cast 2018,https://trends.google.ca/trends/explore?q=power+rangers+cast+2018&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
Power Rangers,3,Power rangers spd characters,https://trends.google.ca/trends/explore?q=power+rangers+spd+characters&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Power Rangers,4,Adelaide kane,https://trends.google.ca/trends/explore?q=adelaide+kane&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Power Rangers,5,Monica may,https://trends.google.ca/trends/explore?q=monica+may&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Power Rangers,6,Threezero power rangers,https://trends.google.ca/trends/explore?q=threezero+power+rangers&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Power Rangers,7,Dai shi power rangers,https://trends.google.ca/trends/explore?q=dai+shi+power+rangers&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Power Rangers,8,Power rangers reboot 2025,https://trends.google.ca/trends/explore?q=power+rangers+reboot+2025&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Power Rangers,9,Power rangers cast 1993,https://trends.google.ca/trends/explore?q=power+rangers+cast+1993&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Power Rangers,10,Ny rangers,https://trends.google.ca/trends/explore?q=ny+rangers&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Power Rangers,11,Dacre montgomery,https://trends.google.ca/trends/explore?q=dacre+montgomery&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Power Rangers,12,Power rangers s.p.d.,https://trends.google.ca/trends/explore?q=power+rangers+s.p.d.&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
