Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 Prey,1,Explain what distinguishes primary and secondary consumers.,https://trends.google.ca/trends/explore?q=explain+what+distinguishes+primary+and+secondary+consumers.&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,2,Biggest bird of prey,https://trends.google.ca/trends/explore?q=biggest+bird+of+prey&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,3,Birds of prey tv show,https://trends.google.ca/trends/explore?q=birds+of+prey+tv+show&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,4,It is advantageous for a predator to prey exclusively on a single prey species.,https://trends.google.ca/trends/explore?q=it+is+advantageous+for+a+predator+to+prey+exclusively+on+a+single+prey+species.&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,5,Let us pray,https://trends.google.ca/trends/explore?q=let+us+pray&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,6,Are crows birds of prey,https://trends.google.ca/trends/explore?q=are+crows+birds+of+prey&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,7,What does the mouth of the cnidarian open into,https://trends.google.ca/trends/explore?q=what+does+the+mouth+of+the+cnidarian+open+into&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,8,Explain how trees can be producers and yet the smallest trophic level in a pyramid of numbers.,https://trends.google.ca/trends/explore?q=explain+how+trees+can+be+producers+and+yet+the+smallest+trophic+level+in+a+pyramid+of+numbers.&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,9,Explain why quaternary consumers occupy the top position in the pyramid of energy.,https://trends.google.ca/trends/explore?q=explain+why+quaternary+consumers+occupy+the+top+position+in+the+pyramid+of+energy.&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,10,Explain the jellyfish life cycle,https://trends.google.ca/trends/explore?q=explain+the+jellyfish+life+cycle&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,11,Prey 2024 trailer,https://trends.google.ca/trends/explore?q=prey+2024+trailer&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
 Prey,12,Explain the importance of decomposers to a food web and their interaction with quaternary consumers.,https://trends.google.ca/trends/explore?q=explain+the+importance+of+decomposers+to+a+food+web+and+their+interaction+with+quaternary+consumers.&date=now+1-d&geo=US,"+2,950%",154,Movie,2024-10-02
 Prey,13,Predator vs prey eyes,https://trends.google.ca/trends/explore?q=predator+vs+prey+eyes&date=now+1-d&geo=US,+350%,154,Movie,2024-10-02
 Prey,14,Predator eyes vs prey eyes,https://trends.google.ca/trends/explore?q=predator+eyes+vs+prey+eyes&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
 Prey,15,Prey eyes,https://trends.google.ca/trends/explore?q=prey+eyes&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
