Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Psycho,1,Frankie freako,https://trends.google.ca/trends/explore?q=frankie+freako&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Psycho,2,Psycho meaning in hindi,https://trends.google.ca/trends/explore?q=psycho+meaning+in+hindi&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Psycho,3,Mary harron,https://trends.google.ca/trends/explore?q=mary+harron&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Psycho,4,Who directed american psycho,https://trends.google.ca/trends/explore?q=who+directed+american+psycho&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Psycho,5,Rosemary's baby,https://trends.google.ca/trends/explore?q=rosemary's+baby&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Psycho,6,How to beat psycho mantis,https://trends.google.ca/trends/explore?q=how+to+beat+psycho+mantis&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Psycho,7,American psycho costume,https://trends.google.ca/trends/explore?q=american+psycho+costume&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Psycho,8,Psycho cybernetics,https://trends.google.ca/trends/explore?q=psycho+cybernetics&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Psycho,9,Rear window,https://trends.google.ca/trends/explore?q=rear+window&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Psycho,10,American psycho novel,https://trends.google.ca/trends/explore?q=american+psycho+novel&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Psycho,11,The birds,https://trends.google.ca/trends/explore?q=the+birds&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Psycho,12,American psycho costume girl,https://trends.google.ca/trends/explore?q=american+psycho+costume+girl&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Psycho,13,You think i'm psycho don't you mama,https://trends.google.ca/trends/explore?q=you+think+i'm+psycho+don't+you+mama&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Psycho,14,Carrie,https://trends.google.ca/trends/explore?q=carrie&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Psycho,15,Movies like american psycho,https://trends.google.ca/trends/explore?q=movies+like+american+psycho&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Psycho,16,American psycho halloween costume,https://trends.google.ca/trends/explore?q=american+psycho+halloween+costume&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Psycho,17,Psycho goreman,https://trends.google.ca/trends/explore?q=psycho+goreman&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Psycho,18,American psycho director,https://trends.google.ca/trends/explore?q=american+psycho+director&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Psycho,19,Hardstone psycho tour,https://trends.google.ca/trends/explore?q=hardstone+psycho+tour&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Psycho,20,Nightmare on elm street,https://trends.google.ca/trends/explore?q=nightmare+on+elm+street&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Psycho,21,Chloë sevigny movies and tv shows,https://trends.google.ca/trends/explore?q=chlo%C3%AB+sevigny+movies+and+tv+shows&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Psycho,22,Classic horror movies,https://trends.google.ca/trends/explore?q=classic+horror+movies&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
