Line Number,Label Text,Link,Rising Value
1,How old are the pyramids of giza,https://trends.google.ca/trends/explore?q=how+old+are+the+pyramids+of+giza&date=now+7-d&geo=CA,Breakout
2,The great pyramids of giza,https://trends.google.ca/trends/explore?q=the+great+pyramids+of+giza&date=now+7-d&geo=CA,+50%
3,Great pyramid of giza,https://trends.google.ca/trends/explore?q=great+pyramid+of+giza&date=now+7-d&geo=CA,+50%
1,How old are the pyramids of giza,https://trends.google.ca/trends/explore?q=how+old+are+the+pyramids+of+giza&date=now+7-d&geo=CA,Breakout
2,The great pyramids of giza,https://trends.google.ca/trends/explore?q=the+great+pyramids+of+giza&date=now+7-d&geo=CA,+50%
3,Great pyramid of giza,https://trends.google.ca/trends/explore?q=great+pyramid+of+giza&date=now+7-d&geo=CA,+50%
1,How old are the pyramids of giza,https://trends.google.ca/trends/explore?q=how+old+are+the+pyramids+of+giza&date=now+7-d&geo=CA,Breakout
2,The great pyramids of giza,https://trends.google.ca/trends/explore?q=the+great+pyramids+of+giza&date=now+7-d&geo=CA,+50%
3,Great pyramid of giza,https://trends.google.ca/trends/explore?q=great+pyramid+of+giza&date=now+7-d&geo=CA,+50%
1,How old are the pyramids of giza,https://trends.google.ca/trends/explore?q=how+old+are+the+pyramids+of+giza&date=now+7-d&geo=CA,Breakout
2,The great pyramids of giza,https://trends.google.ca/trends/explore?q=the+great+pyramids+of+giza&date=now+7-d&geo=CA,+50%
3,Great pyramid of giza,https://trends.google.ca/trends/explore?q=great+pyramid+of+giza&date=now+7-d&geo=CA,+50%
