Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Quantum Leap,1,Maura west on general hospital,https://trends.google.ca/trends/explore?q=maura+west+on+general+hospital&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Quantum Leap,2,The way home season 3,https://trends.google.ca/trends/explore?q=the+way+home+season+3&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Quantum Leap,3,Quantum leap fitness,https://trends.google.ca/trends/explore?q=quantum+leap+fitness&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Quantum Leap,4,Al from quantum leap,https://trends.google.ca/trends/explore?q=al+from+quantum+leap&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Quantum Leap,5,Quantum leap season 2 episode 8 jimmy,https://trends.google.ca/trends/explore?q=quantum+leap+season+2+episode+8+jimmy&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Quantum Leap,6,Lopez vs lopez,https://trends.google.ca/trends/explore?q=lopez+vs+lopez&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Quantum Leap,7,Quantum leap property management,https://trends.google.ca/trends/explore?q=quantum+leap+property+management&date=now+7-d&geo=US,+600%,216,TV Show,2024-10-03
Quantum Leap,8,Quantam leap,https://trends.google.ca/trends/explore?q=quantam+leap&date=now+7-d&geo=US,+500%,216,TV Show,2024-10-03
Quantum Leap,9,Caitlin bassett,https://trends.google.ca/trends/explore?q=caitlin+bassett&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Quantum Leap,10,Just jump,https://trends.google.ca/trends/explore?q=just+jump&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Quantum Leap,11,Quantum leap quotes,https://trends.google.ca/trends/explore?q=quantum+leap+quotes&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Quantum Leap,12,The way home,https://trends.google.ca/trends/explore?q=the+way+home&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Quantum Leap,13,Extended family,https://trends.google.ca/trends/explore?q=extended+family&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Quantum Leap,14,Dr sam beckett,https://trends.google.ca/trends/explore?q=dr+sam+beckett&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Quantum Leap,15,Where to stream quantum leap 2022,https://trends.google.ca/trends/explore?q=where+to+stream+quantum+leap+2022&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Quantum Leap,16,Quantum leap wikipedia,https://trends.google.ca/trends/explore?q=quantum+leap+wikipedia&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Quantum Leap,17,The boys cast,https://trends.google.ca/trends/explore?q=the+boys+cast&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Quantum Leap,18,How to quantum leap,https://trends.google.ca/trends/explore?q=how+to+quantum+leap&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Quantum Leap,19,Im retarded quantum leap,https://trends.google.ca/trends/explore?q=im+retarded+quantum+leap&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
