Query,Line Number,Seed,Link,Rising Value,Date
 RAILS,1,Railsworld,https://trends.google.ca/trends/explore?q=railsworld&date=now+7-d&geo=CA,Breakout,2024-09-26
 RAILS,2,Woodcock,https://trends.google.ca/trends/explore?q=woodcock&date=now+7-d&geo=CA,Breakout,2024-09-26
 RAILS,3,Rails world 2024,https://trends.google.ca/trends/explore?q=rails+world+2024&date=now+7-d&geo=CA,+300%,2024-09-26
 RAILS,4,Rails world,https://trends.google.ca/trends/explore?q=rails+world&date=now+7-d&geo=CA,+300%,2024-09-26
 RAILS,5,Kamal rails,https://trends.google.ca/trends/explore?q=kamal+rails&date=now+7-d&geo=CA,+300%,2024-09-26
 RAILS,6,Rails conf,https://trends.google.ca/trends/explore?q=rails+conf&date=now+7-d&geo=CA,+250%,2024-09-26
 RAILS,7,Ruby on rails tutorial,https://trends.google.ca/trends/explore?q=ruby+on+rails+tutorial&date=now+7-d&geo=CA,+170%,2024-09-26
 RAILS,8,Toilet assist rails,https://trends.google.ca/trends/explore?q=toilet+assist+rails&date=now+7-d&geo=CA,+130%,2024-09-26
 RAILS,9,Ice age rails,https://trends.google.ca/trends/explore?q=ice+age+rails&date=now+7-d&geo=CA,+130%,2024-09-26
 RAILS,10,Twin bed frame,https://trends.google.ca/trends/explore?q=twin+bed+frame&date=now+7-d&geo=CA,+120%,2024-09-26
 RAILS,11,Rails to trails halifax,https://trends.google.ca/trends/explore?q=rails+to+trails+halifax&date=now+7-d&geo=CA,+80%,2024-09-26
 RAILS,12,Cn rails,https://trends.google.ca/trends/explore?q=cn+rails&date=now+7-d&geo=CA,+70%,2024-09-26
 RAILS,13,Toddler bed rails ikea,https://trends.google.ca/trends/explore?q=toddler+bed+rails+ikea&date=now+7-d&geo=CA,+70%,2024-09-26
 RAILS,14,Rails 8 release date,https://trends.google.ca/trends/explore?q=rails+8+release+date&date=now+7-d&geo=CA,+60%,2024-09-26
