Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Red Notice,1,The bricklayer,https://trends.google.ca/trends/explore?q=the+bricklayer&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Red Notice,2,21 bridges,https://trends.google.ca/trends/explore?q=21+bridges&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Red Notice,3,Old dads,https://trends.google.ca/trends/explore?q=old+dads&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Red Notice,4,Is there a sequel to red notice,https://trends.google.ca/trends/explore?q=is+there+a+sequel+to+red+notice&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Red Notice,5,Killer heat,https://trends.google.ca/trends/explore?q=killer+heat&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Red Notice,6,Mr and mrs smith,https://trends.google.ca/trends/explore?q=mr+and+mrs+smith&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Red Notice,7,The man from toronto,https://trends.google.ca/trends/explore?q=the+man+from+toronto&date=now+7-d&geo=US,"+4,500%",154,Movie,2024-10-03
Red Notice,8,Army of thieves,https://trends.google.ca/trends/explore?q=army+of+thieves&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
Red Notice,9,Hit man,https://trends.google.ca/trends/explore?q=hit+man&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Red Notice,10,Red notice soundtrack,https://trends.google.ca/trends/explore?q=red+notice+soundtrack&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Red Notice,11,Notice to quit movie,https://trends.google.ca/trends/explore?q=notice+to+quit+movie&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Red Notice,12,Netflix top movies,https://trends.google.ca/trends/explore?q=netflix+top+movies&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Red Notice,13,Cast of red notice movie,https://trends.google.ca/trends/explore?q=cast+of+red+notice+movie&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Red Notice,14,Red notice 2 full movie,https://trends.google.ca/trends/explore?q=red+notice+2+full+movie&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Red Notice,15,Glass onion,https://trends.google.ca/trends/explore?q=glass+onion&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Red Notice,16,Red notice 2 release date netflix,https://trends.google.ca/trends/explore?q=red+notice+2+release+date+netflix&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Red Notice,17,Civil war movie,https://trends.google.ca/trends/explore?q=civil+war+movie&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Red Notice,18,Top movies on netflix,https://trends.google.ca/trends/explore?q=top+movies+on+netflix&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Red Notice,19,Interpol blue notice,https://trends.google.ca/trends/explore?q=interpol+blue+notice&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Red Notice,20,Movies on netflix,https://trends.google.ca/trends/explore?q=movies+on+netflix&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Red Notice,21,Red notice release date,https://trends.google.ca/trends/explore?q=red+notice+release+date&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Red Notice,22,Netflix movies,https://trends.google.ca/trends/explore?q=netflix+movies&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
