Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Resident Evil,1,Resident evil afterlife cast,https://trends.google.ca/trends/explore?q=resident+evil+afterlife+cast&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Resident Evil,2,Resident evil apocalypse cast,https://trends.google.ca/trends/explore?q=resident+evil+apocalypse+cast&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Resident Evil,3,Resident evil 4 remake steam,https://trends.google.ca/trends/explore?q=resident+evil+4+remake+steam&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Resident Evil,4,Sienna guillory,https://trends.google.ca/trends/explore?q=sienna+guillory&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Resident Evil,5,Resident evil extinction cast,https://trends.google.ca/trends/explore?q=resident+evil+extinction+cast&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Resident Evil,6,Resident evil 3 mods,https://trends.google.ca/trends/explore?q=resident+evil+3+mods&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Resident Evil,7,Resident evil 3 remake safe codes,https://trends.google.ca/trends/explore?q=resident+evil+3+remake+safe+codes&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Resident Evil,8,Rebecca chambers,https://trends.google.ca/trends/explore?q=rebecca+chambers&date=now+1-d&geo=US,+180%,217,Franchise,2024-10-02
Resident Evil,9,Umbrella academy,https://trends.google.ca/trends/explore?q=umbrella+academy&date=now+1-d&geo=US,+180%,217,Franchise,2024-10-02
Resident Evil,10,Resident evil 2 remake walkthrough,https://trends.google.ca/trends/explore?q=resident+evil+2+remake+walkthrough&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
Resident Evil,11,Resident evil 5 movie,https://trends.google.ca/trends/explore?q=resident+evil+5+movie&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Resident Evil,12,Resident evil origins collection,https://trends.google.ca/trends/explore?q=resident+evil+origins+collection&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Resident Evil,13,Dawn of the dead,https://trends.google.ca/trends/explore?q=dawn+of+the+dead&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Resident Evil,14,Albert wesker,https://trends.google.ca/trends/explore?q=albert+wesker&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Resident Evil,15,Resident evil afterlife,https://trends.google.ca/trends/explore?q=resident+evil+afterlife&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
Resident Evil,16,Resident evil damnation,https://trends.google.ca/trends/explore?q=resident+evil+damnation&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
Resident Evil,17,Bela dimitrescu,https://trends.google.ca/trends/explore?q=bela+dimitrescu&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Resident Evil,18,Resident evil extinction,https://trends.google.ca/trends/explore?q=resident+evil+extinction&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Resident Evil,19,Resident evil darkside chronicles,https://trends.google.ca/trends/explore?q=resident+evil+darkside+chronicles&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Resident Evil,20,Resident evil apocalypse,https://trends.google.ca/trends/explore?q=resident+evil+apocalypse&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Resident Evil,21,Resident evil 2 lion statue code,https://trends.google.ca/trends/explore?q=resident+evil+2+lion+statue+code&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Resident Evil,22,Resident evil 7 characters,https://trends.google.ca/trends/explore?q=resident+evil+7+characters&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Resident Evil,23,Games like resident evil,https://trends.google.ca/trends/explore?q=games+like+resident+evil&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Resident Evil,24,Resident evil movie order,https://trends.google.ca/trends/explore?q=resident+evil+movie+order&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Resident Evil,25,Resident evil 2 movie,https://trends.google.ca/trends/explore?q=resident+evil+2+movie&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
