Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Rocky,1,Rocky mountain power outage map,https://trends.google.ca/trends/explore?q=rocky+mountain+power+outage+map&date=now+1-d&geo=US,"+3,550%",217,Franchise,2024-10-02
Rocky,2,Rocky mountain power outage,https://trends.google.ca/trends/explore?q=rocky+mountain+power+outage&date=now+1-d&geo=US,+350%,217,Franchise,2024-10-02
Rocky,3,Little shop of horrors,https://trends.google.ca/trends/explore?q=little+shop+of+horrors&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Rocky,4,Rocky river reservation,https://trends.google.ca/trends/explore?q=rocky+river+reservation&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
Rocky,5,Rocky and carlos,https://trends.google.ca/trends/explore?q=rocky+and+carlos&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
Rocky,6,Rocky mountain power outages,https://trends.google.ca/trends/explore?q=rocky+mountain+power+outages&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Rocky,7,Whole foods rocky river,https://trends.google.ca/trends/explore?q=whole+foods+rocky+river&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
Rocky,8,Rocky mountain puppy rescue,https://trends.google.ca/trends/explore?q=rocky+mountain+puppy+rescue&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
Rocky,9,Rihanna age,https://trends.google.ca/trends/explore?q=rihanna+age&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Rocky,10,Rocky run ymca,https://trends.google.ca/trends/explore?q=rocky+run+ymca&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Rocky,11,Tim curry,https://trends.google.ca/trends/explore?q=tim+curry&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Rocky,12,Asap rocky braids,https://trends.google.ca/trends/explore?q=asap+rocky+braids&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Rocky,13,Rocky mountaineer train cost,https://trends.google.ca/trends/explore?q=rocky+mountaineer+train+cost&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Rocky,14,Rocky mountain eye center,https://trends.google.ca/trends/explore?q=rocky+mountain+eye+center&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Rocky,15,Rocky horror picture show chicago,https://trends.google.ca/trends/explore?q=rocky+horror+picture+show+chicago&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Rocky,16,Rocky horror picture show cast,https://trends.google.ca/trends/explore?q=rocky+horror+picture+show+cast&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,17,Rocky horror picture show costumes,https://trends.google.ca/trends/explore?q=rocky+horror+picture+show+costumes&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,18,Maa rocky point,https://trends.google.ca/trends/explore?q=maa+rocky+point&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,19,Rocky top pumpkin patch,https://trends.google.ca/trends/explore?q=rocky+top+pumpkin+patch&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,20,Westsiders rocky river,https://trends.google.ca/trends/explore?q=westsiders+rocky+river&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,21,Tim curry rocky horror,https://trends.google.ca/trends/explore?q=tim+curry+rocky+horror&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,22,Asap rocky puma,https://trends.google.ca/trends/explore?q=asap+rocky+puma&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,23,Cow palace rocky point,https://trends.google.ca/trends/explore?q=cow+palace+rocky+point&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,24,Rocky horror picture show near me,https://trends.google.ca/trends/explore?q=rocky+horror+picture+show+near+me&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Rocky,25,Riff raff rocky horror,https://trends.google.ca/trends/explore?q=riff+raff+rocky+horror&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
