Query,Line Number,Seed,Link,Rising Value,Date
 Ronaldo,1,Fatal fury ronaldo,https://trends.google.ca/trends/explore?q=fatal+fury+ronaldo&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,2,Fatal fury cristiano ronaldo,https://trends.google.ca/trends/explore?q=fatal+fury+cristiano+ronaldo&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,3,Fatal fury city of the wolves ronaldo,https://trends.google.ca/trends/explore?q=fatal+fury+city+of+the+wolves+ronaldo&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,4,Shohei ohtani contract,https://trends.google.ca/trends/explore?q=shohei+ohtani+contract&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,5,Al-hazm vs al-nassr,https://trends.google.ca/trends/explore?q=al-hazm+vs+al-nassr&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,6,Bad gyal,https://trends.google.ca/trends/explore?q=bad+gyal&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,7,Antonio cassano,https://trends.google.ca/trends/explore?q=antonio+cassano&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,8,Georgina rodríguez before ronaldo,https://trends.google.ca/trends/explore?q=georgina+rodr%C3%ADguez+before+ronaldo&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,9,Varane,https://trends.google.ca/trends/explore?q=varane&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,10,Fatal fury,https://trends.google.ca/trends/explore?q=fatal+fury&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,11,Zlatan ibrahimović,https://trends.google.ca/trends/explore?q=zlatan+ibrahimovi%C4%87&date=now+7-d&geo=CA,Breakout,2024-09-26
 Ronaldo,12,Fatal fury city of the wolves,https://trends.google.ca/trends/explore?q=fatal+fury+city+of+the+wolves&date=now+7-d&geo=CA,+900%,2024-09-26
 Ronaldo,13,Cristiano ronaldo enfant,https://trends.google.ca/trends/explore?q=cristiano+ronaldo+enfant&date=now+7-d&geo=CA,+850%,2024-09-26
 Ronaldo,14,Al-ettifaq vs al-nassr,https://trends.google.ca/trends/explore?q=al-ettifaq+vs+al-nassr&date=now+7-d&geo=CA,+800%,2024-09-26
 Ronaldo,15,Georgina rodriguez net worth,https://trends.google.ca/trends/explore?q=georgina+rodriguez+net+worth&date=now+7-d&geo=CA,+500%,2024-09-26
 Ronaldo,16,Cristiano ronaldo hijos,https://trends.google.ca/trends/explore?q=cristiano+ronaldo+hijos&date=now+7-d&geo=CA,+500%,2024-09-26
 Ronaldo,17,Alana ronaldo,https://trends.google.ca/trends/explore?q=alana+ronaldo&date=now+7-d&geo=CA,+450%,2024-09-26
 Ronaldo,18,Are georgina and ronaldo married,https://trends.google.ca/trends/explore?q=are+georgina+and+ronaldo+married&date=now+7-d&geo=CA,+450%,2024-09-26
 Ronaldo,19,Hijos de cristiano ronaldo,https://trends.google.ca/trends/explore?q=hijos+de+cristiano+ronaldo&date=now+7-d&geo=CA,+450%,2024-09-26
 Ronaldo,20,Georgina rodriguez age,https://trends.google.ca/trends/explore?q=georgina+rodriguez+age&date=now+7-d&geo=CA,+350%,2024-09-26
 Ronaldo,21,Ronaldo and georgina,https://trends.google.ca/trends/explore?q=ronaldo+and+georgina&date=now+7-d&geo=CA,+300%,2024-09-26
 Ronaldo,22,Is cristiano ronaldo married,https://trends.google.ca/trends/explore?q=is+cristiano+ronaldo+married&date=now+7-d&geo=CA,+300%,2024-09-26
 Ronaldo,23,Georgina rodriguez,https://trends.google.ca/trends/explore?q=georgina+rodriguez&date=now+7-d&geo=CA,+300%,2024-09-26
 Ronaldo,24,Cristiano ronaldo jr mother,https://trends.google.ca/trends/explore?q=cristiano+ronaldo+jr+mother&date=now+7-d&geo=CA,+250%,2024-09-26
 Ronaldo,25,Cristiano ronaldo children,https://trends.google.ca/trends/explore?q=cristiano+ronaldo+children&date=now+7-d&geo=CA,+250%,2024-09-26
