Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Sailor Moon,1,Jimmy choo sailor moon 2024,https://trends.google.ca/trends/explore?q=jimmy+choo+sailor+moon+2024&date=now+7-d&geo=US,+550%,217,Franchise,2024-10-03
Sailor Moon,2,Jimmy choo sailor moon,https://trends.google.ca/trends/explore?q=jimmy+choo+sailor+moon&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
Sailor Moon,3,Jimmy choo,https://trends.google.ca/trends/explore?q=jimmy+choo&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
Sailor Moon,4,Yen to usd,https://trends.google.ca/trends/explore?q=yen+to+usd&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Sailor Moon,5,Dti codes,https://trends.google.ca/trends/explore?q=dti+codes&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Sailor Moon,6,Dress to impress codes,https://trends.google.ca/trends/explore?q=dress+to+impress+codes&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Sailor Moon,7,Sailor moon costume adults,https://trends.google.ca/trends/explore?q=sailor+moon+costume+adults&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Sailor Moon,8,Jimmy choo sailor moon price,https://trends.google.ca/trends/explore?q=jimmy+choo+sailor+moon+price&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Sailor Moon,9,Sailor moon x jimmy choo,https://trends.google.ca/trends/explore?q=sailor+moon+x+jimmy+choo&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Sailor Moon,10,Tuxedo mask costume,https://trends.google.ca/trends/explore?q=tuxedo+mask+costume&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Sailor Moon,11,Sailor moon purse,https://trends.google.ca/trends/explore?q=sailor+moon+purse&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Sailor Moon,12,Sailor jupiter costume,https://trends.google.ca/trends/explore?q=sailor+jupiter+costume&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Sailor Moon,13,Sailor moon staff,https://trends.google.ca/trends/explore?q=sailor+moon+staff&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Sailor Moon,14,Sailor moon dti,https://trends.google.ca/trends/explore?q=sailor+moon+dti&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Sailor Moon,15,Sailor mars costume,https://trends.google.ca/trends/explore?q=sailor+mars+costume&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Sailor Moon,16,Sailor moon manga box set,https://trends.google.ca/trends/explore?q=sailor+moon+manga+box+set&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Sailor Moon,17,Luna from sailor moon,https://trends.google.ca/trends/explore?q=luna+from+sailor+moon&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Sailor Moon,18,Sailor moon theme song lyrics,https://trends.google.ca/trends/explore?q=sailor+moon+theme+song+lyrics&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Sailor Moon,19,Jimmy choo sailor moon collection,https://trends.google.ca/trends/explore?q=jimmy+choo+sailor+moon+collection&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Sailor Moon,20,Sailor moon earrings,https://trends.google.ca/trends/explore?q=sailor+moon+earrings&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Sailor Moon,21,Sailor moon perfume,https://trends.google.ca/trends/explore?q=sailor+moon+perfume&date=now+7-d&geo=US,+40%,217,Franchise,2024-10-03
