Line Number,Label Text,Link,Rising Value
1,Santorini grecia,https://trends.google.ca/trends/explore?q=santorini+grecia&date=now+7-d&geo=CA,Breakout
2,Anantara santorini abu dhabi,https://trends.google.ca/trends/explore?q=anantara+santorini+abu+dhabi&date=now+7-d&geo=CA,Breakout
3,Santorini jeu,https://trends.google.ca/trends/explore?q=santorini+jeu&date=now+7-d&geo=CA,Breakout
4,Sifnos,https://trends.google.ca/trends/explore?q=sifnos&date=now+7-d&geo=CA,Breakout
5,Kaliya santorini,https://trends.google.ca/trends/explore?q=kaliya+santorini&date=now+7-d&geo=CA,Breakout
6,Weather forecast mykonos,https://trends.google.ca/trends/explore?q=weather+forecast+mykonos&date=now+7-d&geo=CA,+450%
7,Aqua blue hotel santorini,https://trends.google.ca/trends/explore?q=aqua+blue+hotel+santorini&date=now+7-d&geo=CA,+300%
8,Vienoula's garden hotel,https://trends.google.ca/trends/explore?q=vienoula's+garden+hotel&date=now+7-d&geo=CA,+250%
9,Santorini weather april,https://trends.google.ca/trends/explore?q=santorini+weather+april&date=now+7-d&geo=CA,+180%
10,Kusadasi,https://trends.google.ca/trends/explore?q=kusadasi&date=now+7-d&geo=CA,+180%
11,Rocabella santorini,https://trends.google.ca/trends/explore?q=rocabella+santorini&date=now+7-d&geo=CA,+170%
12,Sunset hotel santorini,https://trends.google.ca/trends/explore?q=sunset+hotel+santorini&date=now+7-d&geo=CA,+170%
13,Santorini in december,https://trends.google.ca/trends/explore?q=santorini+in+december&date=now+7-d&geo=CA,+140%
14,Hotels in oia santorini,https://trends.google.ca/trends/explore?q=hotels+in+oia+santorini&date=now+7-d&geo=CA,+130%
15,Grace hotel santorini,https://trends.google.ca/trends/explore?q=grace+hotel+santorini&date=now+7-d&geo=CA,+130%
16,What time is it in santorini greece,https://trends.google.ca/trends/explore?q=what+time+is+it+in+santorini+greece&date=now+7-d&geo=CA,+120%
17,Amsterdam,https://trends.google.ca/trends/explore?q=amsterdam&date=now+7-d&geo=CA,+70%
