Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Saturday Night Live,1,Live from new york it's saturday night,https://trends.google.ca/trends/explore?q=live+from+new+york+it's+saturday+night&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Saturday Night Live,2,Pat from saturday night live,https://trends.google.ca/trends/explore?q=pat+from+saturday+night+live&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Saturday Night Live,3,Saturday night live host this week,https://trends.google.ca/trends/explore?q=saturday+night+live+host+this+week&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Saturday Night Live,4,Chloe fineman,https://trends.google.ca/trends/explore?q=chloe+fineman&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Saturday Night Live,5,Marcello hernandez,https://trends.google.ca/trends/explore?q=marcello+hernandez&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Saturday Night Live,6,Gilda radner,https://trends.google.ca/trends/explore?q=gilda+radner&date=now+1-d&geo=US,+500%,216,TV Show,2024-10-02
Saturday Night Live,7,Saturday night live stewart,https://trends.google.ca/trends/explore?q=saturday+night+live+stewart&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Saturday Night Live,8,Saturday night live measurement skit,https://trends.google.ca/trends/explore?q=saturday+night+live+measurement+skit&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
Saturday Night Live,9,Lorne michaels,https://trends.google.ca/trends/explore?q=lorne+michaels&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
Saturday Night Live,10,Original saturday night live cast 1975,https://trends.google.ca/trends/explore?q=original+saturday+night+live+cast+1975&date=now+1-d&geo=US,+160%,216,TV Show,2024-10-02
Saturday Night Live,11,Saturday night movie cast,https://trends.google.ca/trends/explore?q=saturday+night+movie+cast&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Saturday Night Live,12,Saturday night live comedians,https://trends.google.ca/trends/explore?q=saturday+night+live+comedians&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Saturday Night Live,13,Saturday night live debate,https://trends.google.ca/trends/explore?q=saturday+night+live+debate&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Saturday Night Live,14,Saturday night live movie cast,https://trends.google.ca/trends/explore?q=saturday+night+live+movie+cast&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Saturday Night Live,15,Saturday night live cold opening,https://trends.google.ca/trends/explore?q=saturday+night+live+cold+opening&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Saturday Night Live,16,John malkovich,https://trends.google.ca/trends/explore?q=john+malkovich&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Saturday Night Live,17,Saturday night live last week,https://trends.google.ca/trends/explore?q=saturday+night+live+last+week&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Saturday Night Live,18,Saturday night live season 1,https://trends.google.ca/trends/explore?q=saturday+night+live+season+1&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Saturday Night Live,19,First saturday night live,https://trends.google.ca/trends/explore?q=first+saturday+night+live&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Saturday Night Live,20,Saturday night live original cast,https://trends.google.ca/trends/explore?q=saturday+night+live+original+cast&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Saturday Night Live,21,Original cast of saturday night live,https://trends.google.ca/trends/explore?q=original+cast+of+saturday+night+live&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Saturday Night Live,22,Saturday night live presidential debate,https://trends.google.ca/trends/explore?q=saturday+night+live+presidential+debate&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Saturday Night Live,23,Menendez brothers saturday night live,https://trends.google.ca/trends/explore?q=menendez+brothers+saturday+night+live&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Saturday Night Live,24,Saturday night movie,https://trends.google.ca/trends/explore?q=saturday+night+movie&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Saturday Night Live,25,Saturday night live movie,https://trends.google.ca/trends/explore?q=saturday+night+live+movie&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
