Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Scooby-Doo,1,Ambergris,https://trends.google.ca/trends/explore?q=ambergris&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,2,Keto,https://trends.google.ca/trends/explore?q=keto&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,3,Ambergris meaning,https://trends.google.ca/trends/explore?q=ambergris+meaning&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,4,Dorothy,https://trends.google.ca/trends/explore?q=dorothy&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,5,Keto meaning,https://trends.google.ca/trends/explore?q=keto+meaning&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,6,Roam,https://trends.google.ca/trends/explore?q=roam&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,7,Shaggy meaning,https://trends.google.ca/trends/explore?q=shaggy+meaning&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,8,Sophia dorothy charlie wallace,https://trends.google.ca/trends/explore?q=sophia+dorothy+charlie+wallace&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,9,Golden girls,https://trends.google.ca/trends/explore?q=golden+girls&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,10,Shaggy diet,https://trends.google.ca/trends/explore?q=shaggy+diet&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,11,Golden girls characters,https://trends.google.ca/trends/explore?q=golden+girls+characters&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,12,Shaggy definition,https://trends.google.ca/trends/explore?q=shaggy+definition&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,13,Wallace diet,https://trends.google.ca/trends/explore?q=wallace+diet&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,14,Roam diet,https://trends.google.ca/trends/explore?q=roam+diet&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,15,Keto character,https://trends.google.ca/trends/explore?q=keto+character&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,16,Roam meaning,https://trends.google.ca/trends/explore?q=roam+meaning&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,17,Nyt connections,https://trends.google.ca/trends/explore?q=nyt+connections&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,18,Characters in golden girls,https://trends.google.ca/trends/explore?q=characters+in+golden+girls&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,19,Connections hint,https://trends.google.ca/trends/explore?q=connections+hint&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,20,Wallace character,https://trends.google.ca/trends/explore?q=wallace+character&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,21,Sophia diet,https://trends.google.ca/trends/explore?q=sophia+diet&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,22,Blanch,https://trends.google.ca/trends/explore?q=blanch&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,23,Charlie scooby doo,https://trends.google.ca/trends/explore?q=charlie+scooby+doo&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,24,Roam soul keto,https://trends.google.ca/trends/explore?q=roam+soul+keto&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Scooby-Doo,25,Musk,https://trends.google.ca/trends/explore?q=musk&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
