Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Scream 6,1,Kevin williamson,https://trends.google.ca/trends/explore?q=kevin+williamson&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Scream 6,2,What can i watch scream 6 on,https://trends.google.ca/trends/explore?q=what+can+i+watch+scream+6+on&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Scream 6,3,Scream.5,https://trends.google.ca/trends/explore?q=scream.5&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Scream 6,4,When did scream 5 come out,https://trends.google.ca/trends/explore?q=when+did+scream+5+come+out&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Scream 6,5,Dinner in america,https://trends.google.ca/trends/explore?q=dinner+in+america&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Scream 6,6,Christina carpenter,https://trends.google.ca/trends/explore?q=christina+carpenter&date=now+7-d&geo=US,+450%,154,Movie,2024-10-03
Scream 6,7,American horror story,https://trends.google.ca/trends/explore?q=american+horror+story&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
Scream 6,8,Scream 6 reparto,https://trends.google.ca/trends/explore?q=scream+6+reparto&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Scream 6,9,Neve campbell movies,https://trends.google.ca/trends/explore?q=neve+campbell+movies&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Scream 6,10,Where can i stream scream 6,https://trends.google.ca/trends/explore?q=where+can+i+stream+scream+6&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Scream 6,11,The craft,https://trends.google.ca/trends/explore?q=the+craft&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Scream 6,12,Annabelle,https://trends.google.ca/trends/explore?q=annabelle&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Scream 6,13,Art the clown,https://trends.google.ca/trends/explore?q=art+the+clown&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Scream 6,14,Dermot mulroney movies and tv shows,https://trends.google.ca/trends/explore?q=dermot+mulroney+movies+and+tv+shows&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Scream 6,15,Texas chainsaw massacre,https://trends.google.ca/trends/explore?q=texas+chainsaw+massacre&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Scream 6,16,Jill roberts,https://trends.google.ca/trends/explore?q=jill+roberts&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Scream 6,17,When is scream 6 coming out,https://trends.google.ca/trends/explore?q=when+is+scream+6+coming+out&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Scream 6,18,Scary movie 3,https://trends.google.ca/trends/explore?q=scary+movie+3&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Scream 6,19,Friday the 13th 1980,https://trends.google.ca/trends/explore?q=friday+the+13th+1980&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Scream 6,20,Halloween movie,https://trends.google.ca/trends/explore?q=halloween+movie&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Scream 6,21,Scream 5 box office,https://trends.google.ca/trends/explore?q=scream+5+box+office&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Scream 6,22,Where to watch scream 3,https://trends.google.ca/trends/explore?q=where+to+watch+scream+3&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Scream 6,23,Quinn bailey scream 6 actor,https://trends.google.ca/trends/explore?q=quinn+bailey+scream+6+actor&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Scream 6,24,Scream 6 opening scene,https://trends.google.ca/trends/explore?q=scream+6+opening+scene&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Scream 6,25,Richie kirsch,https://trends.google.ca/trends/explore?q=richie+kirsch&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
