Query,Line Number,Seed,Link,Rising Value,Date
 September,1,Connections september 27,https://trends.google.ca/trends/explore?q=connections+september+27&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,2,Connections hint september 27,https://trends.google.ca/trends/explore?q=connections+hint+september+27&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,3,Connections hints september 27,https://trends.google.ca/trends/explore?q=connections+hints+september+27&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,4,Is september 30 a bank holiday in canada,https://trends.google.ca/trends/explore?q=is+september+30+a+bank+holiday+in+canada&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,5,Batang quiapo september 27 2024,https://trends.google.ca/trends/explore?q=batang+quiapo+september+27+2024&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,6,Thunder bay 50/50 september winner,https://trends.google.ca/trends/explore?q=thunder+bay+50/50+september+winner&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,7,Is canada post open september 30,https://trends.google.ca/trends/explore?q=is+canada+post+open+september+30&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,8,Are the banks closed on september 30th,https://trends.google.ca/trends/explore?q=are+the+banks+closed+on+september+30th&date=now+1-d&geo=CA,Breakout,2024-09-27
 September,9,Is september 30 a stat holiday in saskatchewan,https://trends.google.ca/trends/explore?q=is+september+30+a+stat+holiday+in+saskatchewan&date=now+1-d&geo=CA,"+3,300%",2024-09-27
 September,10,Cra filing deadline september 30,https://trends.google.ca/trends/explore?q=cra+filing+deadline+september+30&date=now+1-d&geo=CA,"+2,950%",2024-09-27
 September,11,Is there school on september 27,https://trends.google.ca/trends/explore?q=is+there+school+on+september+27&date=now+1-d&geo=CA,"+2,700%",2024-09-27
 September,12,Wordle september 27,https://trends.google.ca/trends/explore?q=wordle+september+27&date=now+1-d&geo=CA,"+2,200%",2024-09-27
 September,13,Wordle answer september 27,https://trends.google.ca/trends/explore?q=wordle+answer+september+27&date=now+1-d&geo=CA,"+1,100%",2024-09-27
 September,14,What's closed on september 30,https://trends.google.ca/trends/explore?q=what's+closed+on+september+30&date=now+1-d&geo=CA,+700%,2024-09-27
 September,15,September 27 horoscope,https://trends.google.ca/trends/explore?q=september+27+horoscope&date=now+1-d&geo=CA,+700%,2024-09-27
 September,16,September 27 2024,https://trends.google.ca/trends/explore?q=september+27+2024&date=now+1-d&geo=CA,+350%,2024-09-27
 September,17,September 27 zodiac,https://trends.google.ca/trends/explore?q=september+27+zodiac&date=now+1-d&geo=CA,+300%,2024-09-27
 September,18,27 september,https://trends.google.ca/trends/explore?q=27+september&date=now+1-d&geo=CA,+250%,2024-09-27
 September,19,September 27th,https://trends.google.ca/trends/explore?q=september+27th&date=now+1-d&geo=CA,+150%,2024-09-27
 September,20,Monday 30 september,https://trends.google.ca/trends/explore?q=monday+30+september&date=now+1-d&geo=CA,+80%,2024-09-27
 September,21,30 september canada,https://trends.google.ca/trends/explore?q=30+september+canada&date=now+1-d&geo=CA,+60%,2024-09-27
 September,22,Monday holiday,https://trends.google.ca/trends/explore?q=monday+holiday&date=now+1-d&geo=CA,+60%,2024-09-27
 September,23,Canada holiday september 30,https://trends.google.ca/trends/explore?q=canada+holiday+september+30&date=now+1-d&geo=CA,+60%,2024-09-27
 September,24,What is september 30,https://trends.google.ca/trends/explore?q=what+is+september+30&date=now+1-d&geo=CA,+60%,2024-09-27
 September,25,September 28,https://trends.google.ca/trends/explore?q=september+28&date=now+1-d&geo=CA,+50%,2024-09-27
