Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Sex Education,1,Samara weaving,https://trends.google.ca/trends/explore?q=samara+weaving&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Sex Education,2,Prowly candy,https://trends.google.ca/trends/explore?q=prowly+candy&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Sex Education,3,Margot robbie look alike,https://trends.google.ca/trends/explore?q=margot+robbie+look+alike&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Sex Education,4,Anne hathaway,https://trends.google.ca/trends/explore?q=anne+hathaway&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Sex Education,5,Sex education filming location,https://trends.google.ca/trends/explore?q=sex+education+filming+location&date=now+7-d&geo=US,"+4,650%",216,TV Show,2024-10-03
Sex Education,6,Sex education tunefind,https://trends.google.ca/trends/explore?q=sex+education+tunefind&date=now+7-d&geo=US,"+4,100%",216,TV Show,2024-10-03
Sex Education,7,Jaime pressly,https://trends.google.ca/trends/explore?q=jaime+pressly&date=now+7-d&geo=US,+600%,216,TV Show,2024-10-03
Sex Education,8,Emma mackey margot robbie,https://trends.google.ca/trends/explore?q=emma+mackey+margot+robbie&date=now+7-d&geo=US,+500%,216,TV Show,2024-10-03
Sex Education,9,The gentlemen,https://trends.google.ca/trends/explore?q=the+gentlemen&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Sex Education,10,Lily newmark,https://trends.google.ca/trends/explore?q=lily+newmark&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Sex Education,11,Sex education rotten tomatoes,https://trends.google.ca/trends/explore?q=sex+education+rotten+tomatoes&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Sex Education,12,Ted lasso,https://trends.google.ca/trends/explore?q=ted+lasso&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Sex Education,13,Simone ashley movies and tv shows,https://trends.google.ca/trends/explore?q=simone+ashley+movies+and+tv+shows&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Sex Education,14,Lotus sex education,https://trends.google.ca/trends/explore?q=lotus+sex+education&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Sex Education,15,Margot robbie sex education,https://trends.google.ca/trends/explore?q=margot+robbie+sex+education&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
Sex Education,16,Margot robbie,https://trends.google.ca/trends/explore?q=margot+robbie&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Sex Education,17,Sex education wikipedia,https://trends.google.ca/trends/explore?q=sex+education+wikipedia&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
Sex Education,18,George robinson,https://trends.google.ca/trends/explore?q=george+robinson&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Sex Education,19,Lesley manville,https://trends.google.ca/trends/explore?q=lesley+manville&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Sex Education,20,Mimi keene,https://trends.google.ca/trends/explore?q=mimi+keene&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Sex Education,21,Sex education actress,https://trends.google.ca/trends/explore?q=sex+education+actress&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Sex Education,22,Aimee sex education,https://trends.google.ca/trends/explore?q=aimee+sex+education&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Sex Education,23,Title ix of the education amendments act,https://trends.google.ca/trends/explore?q=title+ix+of+the+education+amendments+act&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
