Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Sherlock,1,Rachel mcadams,https://trends.google.ca/trends/explore?q=rachel+mcadams&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sherlock,2,Sherlock holmes gif,https://trends.google.ca/trends/explore?q=sherlock+holmes+gif&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sherlock,3,Sherlock holmes smarter brother,https://trends.google.ca/trends/explore?q=sherlock+holmes+smarter+brother&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sherlock,4,Mrs hudson sherlock,https://trends.google.ca/trends/explore?q=mrs+hudson+sherlock&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sherlock,5,Peaky blinders,https://trends.google.ca/trends/explore?q=peaky+blinders&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Sherlock,6,Wooster sherlock extension pole,https://trends.google.ca/trends/explore?q=wooster+sherlock+extension+pole&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Sherlock,7,Sherlock gif,https://trends.google.ca/trends/explore?q=sherlock+gif&date=now+1-d&geo=US,+130%,216,TV Show,2024-10-02
Sherlock,8,Game of thrones,https://trends.google.ca/trends/explore?q=game+of+thrones&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Sherlock,9,Sherlock season 5,https://trends.google.ca/trends/explore?q=sherlock+season+5&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Sherlock,10,Sherlock holmes the devil's daughter,https://trends.google.ca/trends/explore?q=sherlock+holmes+the+devil's+daughter&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Sherlock,11,Sherlock holmes clipart,https://trends.google.ca/trends/explore?q=sherlock+holmes+clipart&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Sherlock,12,Was sherlock holmes a real person,https://trends.google.ca/trends/explore?q=was+sherlock+holmes+a+real+person&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Sherlock,13,Sherlock holmes chapter one,https://trends.google.ca/trends/explore?q=sherlock+holmes+chapter+one&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Sherlock,14,Sir arthur conan doyle,https://trends.google.ca/trends/explore?q=sir+arthur+conan+doyle&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Sherlock,15,No shit sherlock,https://trends.google.ca/trends/explore?q=no+shit+sherlock&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Sherlock,16,Sherlock holmes 2009 cast,https://trends.google.ca/trends/explore?q=sherlock+holmes+2009+cast&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Sherlock,17,Kelly reilly,https://trends.google.ca/trends/explore?q=kelly+reilly&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Sherlock,18,Who created sherlock holmes,https://trends.google.ca/trends/explore?q=who+created+sherlock+holmes&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Sherlock,19,Cast of sherlock holmes,https://trends.google.ca/trends/explore?q=cast+of+sherlock+holmes&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Sherlock,20,The return of sherlock holmes,https://trends.google.ca/trends/explore?q=the+return+of+sherlock+holmes&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Sherlock,21,Who wrote sherlock holmes,https://trends.google.ca/trends/explore?q=who+wrote+sherlock+holmes&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Sherlock,22,Mark gatiss,https://trends.google.ca/trends/explore?q=mark+gatiss&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Sherlock,23,Sherlock on demand,https://trends.google.ca/trends/explore?q=sherlock+on+demand&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Sherlock,24,Benedict cumberbatch,https://trends.google.ca/trends/explore?q=benedict+cumberbatch&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
