Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Shogun,1,Shogun customs,https://trends.google.ca/trends/explore?q=shogun+customs&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,2,Shogun imbd,https://trends.google.ca/trends/explore?q=shogun+imbd&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,3,Shogun statesboro,https://trends.google.ca/trends/explore?q=shogun+statesboro&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,4,Shogun bluefield va,https://trends.google.ca/trends/explore?q=shogun+bluefield+va&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,5,Shogun seaford de,https://trends.google.ca/trends/explore?q=shogun+seaford+de&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,6,English rabbit stew shogun,https://trends.google.ca/trends/explore?q=english+rabbit+stew+shogun&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,7,Shogun buford,https://trends.google.ca/trends/explore?q=shogun+buford&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,8,Yae miko and raiden shogun,https://trends.google.ca/trends/explore?q=yae+miko+and+raiden+shogun&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,9,Squid game season 2,https://trends.google.ca/trends/explore?q=squid+game+season+2&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,10,Agatha all along,https://trends.google.ca/trends/explore?q=agatha+all+along&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Shogun,11,Mariko death shogun,https://trends.google.ca/trends/explore?q=mariko+death+shogun&date=now+1-d&geo=US,"+3,600%",216,TV Show,2024-10-02
Shogun,12,Shogun racine,https://trends.google.ca/trends/explore?q=shogun+racine&date=now+1-d&geo=US,+500%,216,TV Show,2024-10-02
Shogun,13,Shogun fights,https://trends.google.ca/trends/explore?q=shogun+fights&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Shogun,14,Shogun albany,https://trends.google.ca/trends/explore?q=shogun+albany&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Shogun,15,Shogun definition world history,https://trends.google.ca/trends/explore?q=shogun+definition+world+history&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Shogun,16,Best artifacts for raiden shogun,https://trends.google.ca/trends/explore?q=best+artifacts+for+raiden+shogun&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Shogun,17,Is shogun based on a true story,https://trends.google.ca/trends/explore?q=is+shogun+based+on+a+true+story&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
Shogun,18,How to build raiden shogun,https://trends.google.ca/trends/explore?q=how+to+build+raiden+shogun&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Shogun,19,Shogun delmar,https://trends.google.ca/trends/explore?q=shogun+delmar&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Shogun,20,Sho gun,https://trends.google.ca/trends/explore?q=sho+gun&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Shogun,21,Seppuku definition,https://trends.google.ca/trends/explore?q=seppuku+definition&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
Shogun,22,Shogun episode 9 recap,https://trends.google.ca/trends/explore?q=shogun+episode+9+recap&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
