Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Silence of the Lambs,1,Godfather of the dead,https://trends.google.ca/trends/explore?q=godfather+of+the+dead&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Silence of the Lambs,2,Queen of the monsters,https://trends.google.ca/trends/explore?q=queen+of+the+monsters&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Silence of the Lambs,3,A woman under the influence,https://trends.google.ca/trends/explore?q=a+woman+under+the+influence&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Silence of the Lambs,4,Cast of grotesquerie,https://trends.google.ca/trends/explore?q=cast+of+grotesquerie&date=now+7-d&geo=US,"+1,050%",154,Movie,2024-10-03
Silence of the Lambs,5,Grotesquerie cast,https://trends.google.ca/trends/explore?q=grotesquerie+cast&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
Silence of the Lambs,6,Grotesquerie,https://trends.google.ca/trends/explore?q=grotesquerie&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Silence of the Lambs,7,Where was silence of the lambs filmed,https://trends.google.ca/trends/explore?q=where+was+silence+of+the+lambs+filmed&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Silence of the Lambs,8,Paranormal activity,https://trends.google.ca/trends/explore?q=paranormal+activity&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Silence of the Lambs,9,Edward norton,https://trends.google.ca/trends/explore?q=edward+norton&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Silence of the Lambs,10,Quid pro quo,https://trends.google.ca/trends/explore?q=quid+pro+quo&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Silence of the Lambs,11,Brooke smith movies and tv shows,https://trends.google.ca/trends/explore?q=brooke+smith+movies+and+tv+shows&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Silence of the Lambs,12,The godfather,https://trends.google.ca/trends/explore?q=the+godfather&date=now+7-d&geo=US,+190%,154,Movie,2024-10-03
Silence of the Lambs,13,American beauty,https://trends.google.ca/trends/explore?q=american+beauty&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Silence of the Lambs,14,Corpse bride,https://trends.google.ca/trends/explore?q=corpse+bride&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Silence of the Lambs,15,The hills have eyes,https://trends.google.ca/trends/explore?q=the+hills+have+eyes&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Silence of the Lambs,16,Jeepers creepers,https://trends.google.ca/trends/explore?q=jeepers+creepers&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Silence of the Lambs,17,Evil dead,https://trends.google.ca/trends/explore?q=evil+dead&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Silence of the Lambs,18,Smile,https://trends.google.ca/trends/explore?q=smile&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Silence of the Lambs,19,Jonathan demme,https://trends.google.ca/trends/explore?q=jonathan+demme&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Silence of the Lambs,20,Chris isaak,https://trends.google.ca/trends/explore?q=chris+isaak&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Silence of the Lambs,21,Psychological horror movies,https://trends.google.ca/trends/explore?q=psychological+horror+movies&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Silence of the Lambs,22,Nightmare on elm street,https://trends.google.ca/trends/explore?q=nightmare+on+elm+street&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Silence of the Lambs,23,Jame gumb,https://trends.google.ca/trends/explore?q=jame+gumb&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Silence of the Lambs,24,Buffalo bills silence of the lambs,https://trends.google.ca/trends/explore?q=buffalo+bills+silence+of+the+lambs&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Silence of the Lambs,25,Hannibal 2001,https://trends.google.ca/trends/explore?q=hannibal+2001&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
