Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Silent Hill,1,Zoochosis,https://trends.google.ca/trends/explore?q=zoochosis&date=now+7-d&geo=US,"+1,200%",217,Franchise,2024-10-03
Silent Hill,2,Metaphor refantazio review,https://trends.google.ca/trends/explore?q=metaphor+refantazio+review&date=now+7-d&geo=US,"+1,100%",217,Franchise,2024-10-03
Silent Hill,3,Silent hill 2 review embargo,https://trends.google.ca/trends/explore?q=silent+hill+2+review+embargo&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Silent Hill,4,Silent hill 2 remake review,https://trends.google.ca/trends/explore?q=silent+hill+2+remake+review&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Silent Hill,5,Silent hill 2 remake review embargo,https://trends.google.ca/trends/explore?q=silent+hill+2+remake+review+embargo&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Silent Hill,6,Silent hill 2 remake metacritic,https://trends.google.ca/trends/explore?q=silent+hill+2+remake+metacritic&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Silent Hill,7,Silent hill 2 review,https://trends.google.ca/trends/explore?q=silent+hill+2+review&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Silent Hill,8,Silent hill pennsylvania,https://trends.google.ca/trends/explore?q=silent+hill+pennsylvania&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Silent Hill,9,Do you need to play silent hill 1 before 2,https://trends.google.ca/trends/explore?q=do+you+need+to+play+silent+hill+1+before+2&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Silent Hill,10,Where is silent hill located,https://trends.google.ca/trends/explore?q=where+is+silent+hill+located&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Silent Hill,11,Valtiel silent hill,https://trends.google.ca/trends/explore?q=valtiel+silent+hill&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Silent Hill,12,Silent hill 2 metacritic,https://trends.google.ca/trends/explore?q=silent+hill+2+metacritic&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
Silent Hill,13,Silent hill 2 reviews,https://trends.google.ca/trends/explore?q=silent+hill+2+reviews&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Silent Hill,14,Silent hill 2 trophies,https://trends.google.ca/trends/explore?q=silent+hill+2+trophies&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Silent Hill,15,Until dawn remake release date,https://trends.google.ca/trends/explore?q=until+dawn+remake+release+date&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Silent Hill,16,Silent hill 2 early access,https://trends.google.ca/trends/explore?q=silent+hill+2+early+access&date=now+7-d&geo=US,+160%,217,Franchise,2024-10-03
Silent Hill,17,Silent hill 2 remake trophies,https://trends.google.ca/trends/explore?q=silent+hill+2+remake+trophies&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Silent Hill,18,Silent hill 2 remake reviews,https://trends.google.ca/trends/explore?q=silent+hill+2+remake+reviews&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Silent Hill,19,Silent hill townfall,https://trends.google.ca/trends/explore?q=silent+hill+townfall&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Silent Hill,20,Silent hill 2 remake deluxe edition,https://trends.google.ca/trends/explore?q=silent+hill+2+remake+deluxe+edition&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
Silent Hill,21,Silent hill 2 remake early access,https://trends.google.ca/trends/explore?q=silent+hill+2+remake+early+access&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Silent Hill,22,Metaphor refantazio,https://trends.google.ca/trends/explore?q=metaphor+refantazio&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Silent Hill,23,Silent hill pa,https://trends.google.ca/trends/explore?q=silent+hill+pa&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Silent Hill,24,Centralia pennsylvania,https://trends.google.ca/trends/explore?q=centralia+pennsylvania&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Silent Hill,25,Silent hill 2 deluxe edition,https://trends.google.ca/trends/explore?q=silent+hill+2+deluxe+edition&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
