Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Smallville,1,Tom welling movies and tv shows,https://trends.google.ca/trends/explore?q=tom+welling+movies+and+tv+shows&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,2,Smallville reckoning,https://trends.google.ca/trends/explore?q=smallville+reckoning&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,3,Peyton list smallville,https://trends.google.ca/trends/explore?q=peyton+list+smallville&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,4,Emmanuelle vaugier,https://trends.google.ca/trends/explore?q=emmanuelle+vaugier&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,5,Cast of murder in a small town,https://trends.google.ca/trends/explore?q=cast+of+murder+in+a+small+town&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,6,Guardians of the galaxy 2,https://trends.google.ca/trends/explore?q=guardians+of+the+galaxy+2&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,7,Peyton list,https://trends.google.ca/trends/explore?q=peyton+list&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,8,Amy adams,https://trends.google.ca/trends/explore?q=amy+adams&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Smallville,9,Oliver queen smallville,https://trends.google.ca/trends/explore?q=oliver+queen+smallville&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Smallville,10,Murder in a small town,https://trends.google.ca/trends/explore?q=murder+in+a+small+town&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Smallville,11,Smallville blue beetle,https://trends.google.ca/trends/explore?q=smallville+blue+beetle&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Smallville,12,Henry cavill,https://trends.google.ca/trends/explore?q=henry+cavill&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Smallville,13,Kristin kreuk movies and tv shows,https://trends.google.ca/trends/explore?q=kristin+kreuk+movies+and+tv+shows&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
Smallville,14,Ian somerhalder smallville,https://trends.google.ca/trends/explore?q=ian+somerhalder+smallville&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Smallville,15,Sam loeb,https://trends.google.ca/trends/explore?q=sam+loeb&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
Smallville,16,Kristin kreuk smallville,https://trends.google.ca/trends/explore?q=kristin+kreuk+smallville&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Smallville,17,Kristin kreuk,https://trends.google.ca/trends/explore?q=kristin+kreuk&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Smallville,18,Nxivm,https://trends.google.ca/trends/explore?q=nxivm&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Smallville,19,Smallville aquaman,https://trends.google.ca/trends/explore?q=smallville+aquaman&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Smallville,20,Lucifer,https://trends.google.ca/trends/explore?q=lucifer&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Smallville,21,Smallville green arrow,https://trends.google.ca/trends/explore?q=smallville+green+arrow&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Smallville,22,Martha kent smallville,https://trends.google.ca/trends/explore?q=martha+kent+smallville&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
Smallville,23,Smallville season 6,https://trends.google.ca/trends/explore?q=smallville+season+6&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Smallville,24,Smallville season 5,https://trends.google.ca/trends/explore?q=smallville+season+5&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Smallville,25,Smallville lana lang,https://trends.google.ca/trends/explore?q=smallville+lana+lang&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
