Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Sons of Anarchy,1,Sons of anarchy hoodie,https://trends.google.ca/trends/explore?q=sons+of+anarchy+hoodie&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sons of Anarchy,2,Where to stream sons of anarchy,https://trends.google.ca/trends/explore?q=where+to+stream+sons+of+anarchy&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sons of Anarchy,3,Kim dickens,https://trends.google.ca/trends/explore?q=kim+dickens&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sons of Anarchy,4,Sons of anarchy streaming service,https://trends.google.ca/trends/explore?q=sons+of+anarchy+streaming+service&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sons of Anarchy,5,Who was the homeless lady in sons of anarchy,https://trends.google.ca/trends/explore?q=who+was+the+homeless+lady+in+sons+of+anarchy&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Sons of Anarchy,6,Peaky blinders,https://trends.google.ca/trends/explore?q=peaky+blinders&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Sons of Anarchy,7,When did sons of anarchy come out,https://trends.google.ca/trends/explore?q=when+did+sons+of+anarchy+come+out&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Sons of Anarchy,8,Jax sons of anarchy actor,https://trends.google.ca/trends/explore?q=jax+sons+of+anarchy+actor&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Sons of Anarchy,9,What season does clay die in sons of anarchy,https://trends.google.ca/trends/explore?q=what+season+does+clay+die+in+sons+of+anarchy&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Sons of Anarchy,10,Is sons of anarchy on netflix,https://trends.google.ca/trends/explore?q=is+sons+of+anarchy+on+netflix&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Sons of Anarchy,11,Who is sam crow sons of anarchy,https://trends.google.ca/trends/explore?q=who+is+sam+crow+sons+of+anarchy&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
Sons of Anarchy,12,Charlie hunnam movies and tv shows,https://trends.google.ca/trends/explore?q=charlie+hunnam+movies+and+tv+shows&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
Sons of Anarchy,13,Where was sons of anarchy filmed,https://trends.google.ca/trends/explore?q=where+was+sons+of+anarchy+filmed&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Sons of Anarchy,14,Ima sons of anarchy,https://trends.google.ca/trends/explore?q=ima+sons+of+anarchy&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Sons of Anarchy,15,Stephen king sons of anarchy,https://trends.google.ca/trends/explore?q=stephen+king+sons+of+anarchy&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Sons of Anarchy,16,Sons of anarchy reboot,https://trends.google.ca/trends/explore?q=sons+of+anarchy+reboot&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Sons of Anarchy,17,Ryan hurst,https://trends.google.ca/trends/explore?q=ryan+hurst&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Sons of Anarchy,18,Sons of anarchy streaming,https://trends.google.ca/trends/explore?q=sons+of+anarchy+streaming&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
