Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Spectre,1,Reverie,https://trends.google.ca/trends/explore?q=reverie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Spectre,2,Itinerant,https://trends.google.ca/trends/explore?q=itinerant&date=now+7-d&geo=US,"+2,150%",154,Movie,2024-10-03
Spectre,3,Spectre of the gun,https://trends.google.ca/trends/explore?q=spectre+of+the+gun&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Spectre,4,Spectre wraith fragrance world,https://trends.google.ca/trends/explore?q=spectre+wraith+fragrance+world&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Spectre,5,Spectre divide twitch drops,https://trends.google.ca/trends/explore?q=spectre+divide+twitch+drops&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Spectre,6,Spectre atlanta,https://trends.google.ca/trends/explore?q=spectre+atlanta&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Spectre,7,Skyfall cast,https://trends.google.ca/trends/explore?q=skyfall+cast&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Spectre,8,Dr manhattan,https://trends.google.ca/trends/explore?q=dr+manhattan&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Spectre,9,Rr spectre price,https://trends.google.ca/trends/explore?q=rr+spectre+price&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Spectre,10,Star trek spectre of the gun,https://trends.google.ca/trends/explore?q=star+trek+spectre+of+the+gun&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Spectre,11,007 spectre 2015,https://trends.google.ca/trends/explore?q=007+spectre+2015&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Spectre,12,Spectre lyrics radiohead,https://trends.google.ca/trends/explore?q=spectre+lyrics+radiohead&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Spectre,13,In spectre anime,https://trends.google.ca/trends/explore?q=in+spectre+anime&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Spectre,14,Sig sauer p365 xl spectre comp,https://trends.google.ca/trends/explore?q=sig+sauer+p365+xl+spectre+comp&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Spectre,15,Mountaintop studios,https://trends.google.ca/trends/explore?q=mountaintop+studios&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Spectre,16,Spectre staff,https://trends.google.ca/trends/explore?q=spectre+staff&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Spectre,17,Rolls.royce spectre,https://trends.google.ca/trends/explore?q=rolls.royce+spectre&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Spectre,18,Lea seydoux,https://trends.google.ca/trends/explore?q=lea+seydoux&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Spectre,19,Spectre dc,https://trends.google.ca/trends/explore?q=spectre+dc&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
