Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Spy X Family,1,Spy x family chapter 106,https://trends.google.ca/trends/explore?q=spy+x+family+chapter+106&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Spy X Family,2,My hero academia,https://trends.google.ca/trends/explore?q=my+hero+academia&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Spy X Family,3,Spy x family memes,https://trends.google.ca/trends/explore?q=spy+x+family+memes&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Spy X Family,4,Becky spy x family,https://trends.google.ca/trends/explore?q=becky+spy+x+family&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
Spy X Family,5,Where to watch spy x family code white,https://trends.google.ca/trends/explore?q=where+to+watch+spy+x+family+code+white&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Spy X Family,6,Spy x family viz,https://trends.google.ca/trends/explore?q=spy+x+family+viz&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
Spy X Family,7,Spy x family manga online,https://trends.google.ca/trends/explore?q=spy+x+family+manga+online&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Spy X Family,8,Spy x family cast,https://trends.google.ca/trends/explore?q=spy+x+family+cast&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Spy X Family,9,Spy x family characters,https://trends.google.ca/trends/explore?q=spy+x+family+characters&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Spy X Family,10,Spy x family manga,https://trends.google.ca/trends/explore?q=spy+x+family+manga&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
