Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Star Trek (2009),1,Star trek strange new worlds,https://trends.google.ca/trends/explore?q=star+trek+strange+new+worlds&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Star Trek (2009),2,New star trek movies in order,https://trends.google.ca/trends/explore?q=new+star+trek+movies+in+order&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Star Trek (2009),3,Chris pine movies,https://trends.google.ca/trends/explore?q=chris+pine+movies&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Star Trek (2009),4,Stream star trek 2009,https://trends.google.ca/trends/explore?q=stream+star+trek+2009&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Star Trek (2009),5,Star trek 2009 film,https://trends.google.ca/trends/explore?q=star+trek+2009+film&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Star Trek (2009),6,Star trek movies in order,https://trends.google.ca/trends/explore?q=star+trek+movies+in+order&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Star Trek (2009),7,Jennifer morrison,https://trends.google.ca/trends/explore?q=jennifer+morrison&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Star Trek (2009),8,Chris pine,https://trends.google.ca/trends/explore?q=chris+pine&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Star Trek (2009),9,Star trek into darkness cast,https://trends.google.ca/trends/explore?q=star+trek+into+darkness+cast&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Star Trek (2009),10,Where to watch star trek 2009,https://trends.google.ca/trends/explore?q=where+to+watch+star+trek+2009&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Star Trek (2009),11,Star trek beyond,https://trends.google.ca/trends/explore?q=star+trek+beyond&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
