Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Star Trek: Discovery,1,A discovery of witches,https://trends.google.ca/trends/explore?q=a+discovery+of+witches&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Star Trek: Discovery,2,Star trek chekov,https://trends.google.ca/trends/explore?q=star+trek+chekov&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Star Trek: Discovery,3,Discovery of witches cast,https://trends.google.ca/trends/explore?q=discovery+of+witches+cast&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Star Trek: Discovery,4,Madonna,https://trends.google.ca/trends/explore?q=madonna&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Star Trek: Discovery,5,Calvino,https://trends.google.ca/trends/explore?q=calvino&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Star Trek: Discovery,6,Discovery of witches,https://trends.google.ca/trends/explore?q=discovery+of+witches&date=now+1-d&geo=US,"+1,600%",216,TV Show,2024-10-02
Star Trek: Discovery,7,Senegal,https://trends.google.ca/trends/explore?q=senegal&date=now+1-d&geo=US,+800%,216,TV Show,2024-10-02
Star Trek: Discovery,8,Star trek discovery uniform,https://trends.google.ca/trends/explore?q=star+trek+discovery+uniform&date=now+1-d&geo=US,+150%,216,TV Show,2024-10-02
Star Trek: Discovery,9,Space shuttle discovery,https://trends.google.ca/trends/explore?q=space+shuttle+discovery&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Star Trek: Discovery,10,Cast of star trek discovery,https://trends.google.ca/trends/explore?q=cast+of+star+trek+discovery&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Star Trek: Discovery,11,Star trek picard,https://trends.google.ca/trends/explore?q=star+trek+picard&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Star Trek: Discovery,12,Star trek discovery season 5,https://trends.google.ca/trends/explore?q=star+trek+discovery+season+5&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Star Trek: Discovery,13,Star trek enterprise,https://trends.google.ca/trends/explore?q=star+trek+enterprise&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
