Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Star Trek: Picard,1,William shatner,https://trends.google.ca/trends/explore?q=william+shatner&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-01
Star Trek: Picard,2,Star trek picard shrike,https://trends.google.ca/trends/explore?q=star+trek+picard+shrike&date=now+7-d&geo=US,+500%,216,TV Show,2024-10-01
Star Trek: Picard,3,Captain kirk,https://trends.google.ca/trends/explore?q=captain+kirk&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-01
Star Trek: Picard,4,Jack crusher,https://trends.google.ca/trends/explore?q=jack+crusher&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
Star Trek: Picard,5,Star trek picard spin off,https://trends.google.ca/trends/explore?q=star+trek+picard+spin+off&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-01
Star Trek: Picard,6,Riker star trek,https://trends.google.ca/trends/explore?q=riker+star+trek&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-01
Star Trek: Picard,7,Star trek deep space nine,https://trends.google.ca/trends/explore?q=star+trek+deep+space+nine&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-01
Star Trek: Picard,8,Star trek voyager,https://trends.google.ca/trends/explore?q=star+trek+voyager&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-01
Star Trek: Picard,9,Star trek next generation cast,https://trends.google.ca/trends/explore?q=star+trek+next+generation+cast&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-01
Star Trek: Picard,10,Cast of star trek picard,https://trends.google.ca/trends/explore?q=cast+of+star+trek+picard&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-01
