Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Star Trek,1,Madlyn rhue,https://trends.google.ca/trends/explore?q=madlyn+rhue&date=now+7-d&geo=US,"+4,300%",217,Franchise,2024-10-01
Star Trek,2,Star trek counselor crossword,https://trends.google.ca/trends/explore?q=star+trek+counselor+crossword&date=now+7-d&geo=US,"+1,500%",217,Franchise,2024-10-01
Star Trek,3,Star trek a taste of armageddon,https://trends.google.ca/trends/explore?q=star+trek+a+taste+of+armageddon&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-01
Star Trek,4,Star trek this side of paradise,https://trends.google.ca/trends/explore?q=star+trek+this+side+of+paradise&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-01
Star Trek,5,Star trek the ultimate computer,https://trends.google.ca/trends/explore?q=star+trek+the+ultimate+computer&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-01
Star Trek,6,Star trek counselor,https://trends.google.ca/trends/explore?q=star+trek+counselor&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-01
Star Trek,7,Jennifer hetrick,https://trends.google.ca/trends/explore?q=jennifer+hetrick&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-01
Star Trek,8,Star trek space seed,https://trends.google.ca/trends/explore?q=star+trek+space+seed&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-01
Star Trek,9,Star trek convention chicago,https://trends.google.ca/trends/explore?q=star+trek+convention+chicago&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-01
Star Trek,10,Barclay star trek,https://trends.google.ca/trends/explore?q=barclay+star+trek&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-01
Star Trek,11,Star trek captains,https://trends.google.ca/trends/explore?q=star+trek+captains&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-01
Star Trek,12,Jeffrey hunter,https://trends.google.ca/trends/explore?q=jeffrey+hunter&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
Star Trek,13,Star trek hand sign,https://trends.google.ca/trends/explore?q=star+trek+hand+sign&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Star Trek,14,Grace lee whitney,https://trends.google.ca/trends/explore?q=grace+lee+whitney&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Star Trek,15,Star trek chicago,https://trends.google.ca/trends/explore?q=star+trek+chicago&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-01
Star Trek,16,Star trek convention 2024,https://trends.google.ca/trends/explore?q=star+trek+convention+2024&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Star Trek,17,Star trek first contact cast,https://trends.google.ca/trends/explore?q=star+trek+first+contact+cast&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Star Trek,18,Alice eve,https://trends.google.ca/trends/explore?q=alice+eve&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Star Trek,19,Susan oliver,https://trends.google.ca/trends/explore?q=susan+oliver&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Star Trek,20,Brilliant minds,https://trends.google.ca/trends/explore?q=brilliant+minds&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
