Line Number,Label Text,Link,Rising Value
1,Jon jones record,https://trends.google.ca/trends/explore?q=jon+jones+record&date=now+7-d&geo=CA,Breakout
2,Stipe miocic ufc record,https://trends.google.ca/trends/explore?q=stipe+miocic+ufc+record&date=now+7-d&geo=CA,Breakout
3,Merab dvalishvili,https://trends.google.ca/trends/explore?q=merab+dvalishvili&date=now+7-d&geo=CA,Breakout
4,Sean o'malley,https://trends.google.ca/trends/explore?q=sean+o'malley&date=now+7-d&geo=CA,Breakout
5,John jones,https://trends.google.ca/trends/explore?q=john+jones&date=now+7-d&geo=CA,Breakout
6,Ufc rankings,https://trends.google.ca/trends/explore?q=ufc+rankings&date=now+7-d&geo=CA,Breakout
7,Jon jones age,https://trends.google.ca/trends/explore?q=jon+jones+age&date=now+7-d&geo=CA,Breakout
8,Stipe miocic firefighter,https://trends.google.ca/trends/explore?q=stipe+miocic+firefighter&date=now+7-d&geo=CA,Breakout
9,Canelo,https://trends.google.ca/trends/explore?q=canelo&date=now+7-d&geo=CA,Breakout
10,Ufc 307,https://trends.google.ca/trends/explore?q=ufc+307&date=now+7-d&geo=CA,Breakout
11,Max holloway,https://trends.google.ca/trends/explore?q=max+holloway&date=now+7-d&geo=CA,Breakout
12,Conor mcgregor,https://trends.google.ca/trends/explore?q=conor+mcgregor&date=now+7-d&geo=CA,Breakout
13,Ilia topuria,https://trends.google.ca/trends/explore?q=ilia+topuria&date=now+7-d&geo=CA,Breakout
14,Diego lopes,https://trends.google.ca/trends/explore?q=diego+lopes&date=now+7-d&geo=CA,Breakout
15,Ufc 309 tickets,https://trends.google.ca/trends/explore?q=ufc+309+tickets&date=now+7-d&geo=CA,Breakout
16,Alexa grasso,https://trends.google.ca/trends/explore?q=alexa+grasso&date=now+7-d&geo=CA,Breakout
17,Ufc heavyweight rankings,https://trends.google.ca/trends/explore?q=ufc+heavyweight+rankings&date=now+7-d&geo=CA,Breakout
18,Ufc 309 fight card,https://trends.google.ca/trends/explore?q=ufc+309+fight+card&date=now+7-d&geo=CA,Breakout
19,Raul rosas jr,https://trends.google.ca/trends/explore?q=raul+rosas+jr&date=now+7-d&geo=CA,Breakout
20,Kendrick lamar,https://trends.google.ca/trends/explore?q=kendrick+lamar&date=now+7-d&geo=CA,Breakout
21,Ufc schedule,https://trends.google.ca/trends/explore?q=ufc+schedule&date=now+7-d&geo=CA,Breakout
22,Sharaputdin magomedov,https://trends.google.ca/trends/explore?q=sharaputdin+magomedov&date=now+7-d&geo=CA,Breakout
23,Bo nickal,https://trends.google.ca/trends/explore?q=bo+nickal&date=now+7-d&geo=CA,Breakout
24,Michael chandler,https://trends.google.ca/trends/explore?q=michael+chandler&date=now+7-d&geo=CA,Breakout
25,Stipe miocic age,https://trends.google.ca/trends/explore?q=stipe+miocic+age&date=now+7-d&geo=CA,+250%
