Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Street Fighter,1,Street fighter 6 kimberly,https://trends.google.ca/trends/explore?q=street+fighter+6+kimberly&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Street Fighter,2,Street fighter characters original,https://trends.google.ca/trends/explore?q=street+fighter+characters+original&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Street Fighter,3,Seth street fighter,https://trends.google.ca/trends/explore?q=seth+street+fighter&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Street Fighter,4,A.k.i street fighter,https://trends.google.ca/trends/explore?q=a.k.i+street+fighter&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Street Fighter,5,What does ryu say in street fighter,https://trends.google.ca/trends/explore?q=what+does+ryu+say+in+street+fighter&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Street Fighter,6,Hakan street fighter,https://trends.google.ca/trends/explore?q=hakan+street+fighter&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Street Fighter,7,Killer instinct,https://trends.google.ca/trends/explore?q=killer+instinct&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Street Fighter,8,Rufus street fighter,https://trends.google.ca/trends/explore?q=rufus+street+fighter&date=now+1-d&geo=US,+350%,217,Franchise,2024-10-02
Street Fighter,9,Menat street fighter 6,https://trends.google.ca/trends/explore?q=menat+street+fighter+6&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
Street Fighter,10,Morrigan street fighter,https://trends.google.ca/trends/explore?q=morrigan+street+fighter&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Street Fighter,11,Mortal kombat costumes,https://trends.google.ca/trends/explore?q=mortal+kombat+costumes&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
Street Fighter,12,When did street fighter come out,https://trends.google.ca/trends/explore?q=when+did+street+fighter+come+out&date=now+1-d&geo=US,+150%,217,Franchise,2024-10-02
Street Fighter,13,Street fighter 6 marisa,https://trends.google.ca/trends/explore?q=street+fighter+6+marisa&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Street Fighter,14,Makoto street fighter,https://trends.google.ca/trends/explore?q=makoto+street+fighter&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Street Fighter,15,Street fighter villains,https://trends.google.ca/trends/explore?q=street+fighter+villains&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Street Fighter,16,Kimberly street fighter,https://trends.google.ca/trends/explore?q=kimberly+street+fighter&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Street Fighter,17,Sagat street fighter,https://trends.google.ca/trends/explore?q=sagat+street+fighter&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Street Fighter,18,Mortal kombat characters,https://trends.google.ca/trends/explore?q=mortal+kombat+characters&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
Street Fighter,19,Street fighter dhalsim,https://trends.google.ca/trends/explore?q=street+fighter+dhalsim&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Street Fighter,20,Street fighter 5 characters,https://trends.google.ca/trends/explore?q=street+fighter+5+characters&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Street Fighter,21,Street fighter alpha 3 max,https://trends.google.ca/trends/explore?q=street+fighter+alpha+3+max&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
Street Fighter,22,Street fighter 6 wiki,https://trends.google.ca/trends/explore?q=street+fighter+6+wiki&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Street Fighter,23,Dudley street fighter,https://trends.google.ca/trends/explore?q=dudley+street+fighter&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Street Fighter,24,Dragon ball sparking zero,https://trends.google.ca/trends/explore?q=dragon+ball+sparking+zero&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
