Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Summer House,1,Wes summer house,https://trends.google.ca/trends/explore?q=wes+summer+house&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Summer House,2,Alex summer house,https://trends.google.ca/trends/explore?q=alex+summer+house&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Summer House,3,Turner kufe,https://trends.google.ca/trends/explore?q=turner+kufe&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Summer House,4,Summer fridays lip balm,https://trends.google.ca/trends/explore?q=summer+fridays+lip+balm&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Summer House,5,Paige desorbo,https://trends.google.ca/trends/explore?q=paige+desorbo&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Summer House,6,Summer fridays,https://trends.google.ca/trends/explore?q=summer+fridays&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Summer House,7,Jordan summer house,https://trends.google.ca/trends/explore?q=jordan+summer+house&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
Summer House,8,Ciara summer house,https://trends.google.ca/trends/explore?q=ciara+summer+house&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Summer House,9,Jules summer house,https://trends.google.ca/trends/explore?q=jules+summer+house&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Summer House,10,Summer house season 1,https://trends.google.ca/trends/explore?q=summer+house+season+1&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Summer House,11,West wilson summer house,https://trends.google.ca/trends/explore?q=west+wilson+summer+house&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Summer House,12,Summer house on music lane,https://trends.google.ca/trends/explore?q=summer+house+on+music+lane&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Summer House,13,Southern charm season 10,https://trends.google.ca/trends/explore?q=southern+charm+season+10&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Summer House,14,Kyle summer house,https://trends.google.ca/trends/explore?q=kyle+summer+house&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Summer House,15,Danielle summer house,https://trends.google.ca/trends/explore?q=danielle+summer+house&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Summer House,16,Luke gulbranson,https://trends.google.ca/trends/explore?q=luke+gulbranson&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Summer House,17,West summer house,https://trends.google.ca/trends/explore?q=west+summer+house&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Summer House,18,Luke summer house,https://trends.google.ca/trends/explore?q=luke+summer+house&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Summer House,19,When does summer house start 2024,https://trends.google.ca/trends/explore?q=when+does+summer+house+start+2024&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Summer House,20,Paige summer house,https://trends.google.ca/trends/explore?q=paige+summer+house&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
