Line Number,Label Text,Link,Rising Value
1,Petra jordan,https://trends.google.ca/trends/explore?q=petra+jordan&date=now+7-d&geo=CA,Breakout
2,Tour eiffel,https://trends.google.ca/trends/explore?q=tour+eiffel&date=now+7-d&geo=CA,Breakout
3,Taj mahal quartzite kitchen,https://trends.google.ca/trends/explore?q=taj+mahal+quartzite+kitchen&date=now+7-d&geo=CA,Breakout
4,Stonehenge,https://trends.google.ca/trends/explore?q=stonehenge&date=now+7-d&geo=CA,Breakout
5,Taj mahal musician,https://trends.google.ca/trends/explore?q=taj+mahal+musician&date=now+7-d&geo=CA,+400%
6,Angkor wat,https://trends.google.ca/trends/explore?q=angkor+wat&date=now+7-d&geo=CA,+130%
7,Is the taj mahal a wonder of the world,https://trends.google.ca/trends/explore?q=is+the+taj+mahal+a+wonder+of+the+world&date=now+7-d&geo=CA,+130%
8,Taj mahal shawinigan,https://trends.google.ca/trends/explore?q=taj+mahal+shawinigan&date=now+7-d&geo=CA,+80%
9,7 wonders of the world,https://trends.google.ca/trends/explore?q=7+wonders+of+the+world&date=now+7-d&geo=CA,+70%
10,Taj mahal religion,https://trends.google.ca/trends/explore?q=taj+mahal+religion&date=now+7-d&geo=CA,+70%
11,Taj mahal stone,https://trends.google.ca/trends/explore?q=taj+mahal+stone&date=now+7-d&geo=CA,+50%
12,Machu picchu,https://trends.google.ca/trends/explore?q=machu+picchu&date=now+7-d&geo=CA,+40%
