Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Teenage Mutant Ninja Turtles,1,Laura linney teenage mutant ninja turtles,https://trends.google.ca/trends/explore?q=laura+linney+teenage+mutant+ninja+turtles&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,2,Teenage mutant ninja turtles shredder’s revenge,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+shredder%E2%80%99s+revenge&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,3,Teenage mutant ninja turtles fast forward,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+fast+forward&date=now+7-d&geo=US,"+4,150%",217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,4,Laura linney,https://trends.google.ca/trends/explore?q=laura+linney&date=now+7-d&geo=US,+900%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,5,Mona lisa teenage mutant ninja turtles,https://trends.google.ca/trends/explore?q=mona+lisa+teenage+mutant+ninja+turtles&date=now+7-d&geo=US,+180%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,6,Teenage mutant ninja turtles shredders revenge,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+shredders+revenge&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,7,Female teenage mutant ninja turtles,https://trends.google.ca/trends/explore?q=female+teenage+mutant+ninja+turtles&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,8,April from teenage mutant ninja turtles,https://trends.google.ca/trends/explore?q=april+from+teenage+mutant+ninja+turtles&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,9,Teenage mutant ninja turtles comic 1984,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+comic+1984&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,10,Tmnt 2003,https://trends.google.ca/trends/explore?q=tmnt+2003&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,11,Teenage mutant ninja turtles wrath of the mutants,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+wrath+of+the+mutants&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,12,Teenage mutant ninja turtles movie 1987,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+movie+1987&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,13,Teenage mutant ninja turtles the cowabunga collection,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+the+cowabunga+collection&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,14,Teenage mutant ninja turtles costume adult,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+costume+adult&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,15,Orange teenage mutant ninja turtles,https://trends.google.ca/trends/explore?q=orange+teenage+mutant+ninja+turtles&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,16,Teenage mutant ninja turtles 90s cartoon,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+90s+cartoon&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,17,Teenage mutant ninja turtles imdb,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+imdb&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,18,Teenage mutant ninja turtles arcade machine,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+arcade+machine&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,19,Rat in teenage mutant ninja turtles,https://trends.google.ca/trends/explore?q=rat+in+teenage+mutant+ninja+turtles&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,20,Teenage mutant ninja turtles x naruto,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+x+naruto&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,21,Teenage mutant ninja turtles 2013,https://trends.google.ca/trends/explore?q=teenage+mutant+ninja+turtles+2013&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-01
Teenage Mutant Ninja Turtles,22,Corey feldman,https://trends.google.ca/trends/explore?q=corey+feldman&date=now+7-d&geo=US,+40%,217,Franchise,2024-10-01
