Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Terminator: Dark Fate,1,Crossword,https://trends.google.ca/trends/explore?q=crossword&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,2,Legally annul crossword,https://trends.google.ca/trends/explore?q=legally+annul+crossword&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,3,Walcott,https://trends.google.ca/trends/explore?q=walcott&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,4,Legally annul,https://trends.google.ca/trends/explore?q=legally+annul&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,5,Sly and the family stone,https://trends.google.ca/trends/explore?q=sly+and+the+family+stone&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,6,Action movie fx,https://trends.google.ca/trends/explore?q=action+movie+fx&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,7,Naboo,https://trends.google.ca/trends/explore?q=naboo&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,8,Legally annul crossword clue,https://trends.google.ca/trends/explore?q=legally+annul+crossword+clue&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,9,Banjoist fleck crossword clue,https://trends.google.ca/trends/explore?q=banjoist+fleck+crossword+clue&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,10,Crossword puzzles,https://trends.google.ca/trends/explore?q=crossword+puzzles&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,11,Terminator dark fate actress,https://trends.google.ca/trends/explore?q=terminator+dark+fate+actress&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Terminator: Dark Fate,12,Arrakis,https://trends.google.ca/trends/explore?q=arrakis&date=now+7-d&geo=US,+950%,154,Movie,2024-10-03
Terminator: Dark Fate,13,Banjoist fleck,https://trends.google.ca/trends/explore?q=banjoist+fleck&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Terminator: Dark Fate,14,Cast of terminator dark fate,https://trends.google.ca/trends/explore?q=cast+of+terminator+dark+fate&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Terminator: Dark Fate,15,Terminator dark fate game,https://trends.google.ca/trends/explore?q=terminator+dark+fate+game&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
Terminator: Dark Fate,16,Terminator zero,https://trends.google.ca/trends/explore?q=terminator+zero&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
