Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Big Bang Theory,1,Brooke d'orsay,https://trends.google.ca/trends/explore?q=brooke+d'orsay&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
The Big Bang Theory,2,Dexter's laboratory,https://trends.google.ca/trends/explore?q=dexter's+laboratory&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
The Big Bang Theory,3,When did the big bang occur?,https://trends.google.ca/trends/explore?q=when+did+the+big+bang+occur?&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
The Big Bang Theory,4,Lio tipton,https://trends.google.ca/trends/explore?q=lio+tipton&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
The Big Bang Theory,5,The big bang theory season 10,https://trends.google.ca/trends/explore?q=the+big+bang+theory+season+10&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
The Big Bang Theory,6,Is god real,https://trends.google.ca/trends/explore?q=is+god+real&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
The Big Bang Theory,7,Malcolm in the middle,https://trends.google.ca/trends/explore?q=malcolm+in+the+middle&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
The Big Bang Theory,8,Eternal inflation theory,https://trends.google.ca/trends/explore?q=eternal+inflation+theory&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
The Big Bang Theory,9,Elliptical galaxy,https://trends.google.ca/trends/explore?q=elliptical+galaxy&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
The Big Bang Theory,10,Billy bob thornton,https://trends.google.ca/trends/explore?q=billy+bob+thornton&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
The Big Bang Theory,11,Who played howard's mom on the big bang theory,https://trends.google.ca/trends/explore?q=who+played+howard's+mom+on+the+big+bang+theory&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
The Big Bang Theory,12,Sara gilbert,https://trends.google.ca/trends/explore?q=sara+gilbert&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
The Big Bang Theory,13,When did the big bang occur,https://trends.google.ca/trends/explore?q=when+did+the+big+bang+occur&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
The Big Bang Theory,14,Watch the big bang theory online free,https://trends.google.ca/trends/explore?q=watch+the+big+bang+theory+online+free&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
The Big Bang Theory,15,Tania raymonde,https://trends.google.ca/trends/explore?q=tania+raymonde&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
The Big Bang Theory,16,Todd spiewak,https://trends.google.ca/trends/explore?q=todd+spiewak&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
The Big Bang Theory,17,The big bang theory finale,https://trends.google.ca/trends/explore?q=the+big+bang+theory+finale&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
The Big Bang Theory,18,Amy from big bang theory,https://trends.google.ca/trends/explore?q=amy+from+big+bang+theory&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
The Big Bang Theory,19,The bronze,https://trends.google.ca/trends/explore?q=the+bronze&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
The Big Bang Theory,20,Roseanne,https://trends.google.ca/trends/explore?q=roseanne&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
The Big Bang Theory,21,The big bang theory season 8,https://trends.google.ca/trends/explore?q=the+big+bang+theory+season+8&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
The Big Bang Theory,22,Jim parsons movies and tv shows,https://trends.google.ca/trends/explore?q=jim+parsons+movies+and+tv+shows&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
The Big Bang Theory,23,The big bang theory halloween episodes,https://trends.google.ca/trends/explore?q=the+big+bang+theory+halloween+episodes&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
The Big Bang Theory,24,Mckenna grace,https://trends.google.ca/trends/explore?q=mckenna+grace&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
