Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Blacklist,1,Mozhan marno,https://trends.google.ca/trends/explore?q=mozhan+marno&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,2,Harry lennix,https://trends.google.ca/trends/explore?q=harry+lennix&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,3,Megan boone net worth,https://trends.google.ca/trends/explore?q=megan+boone+net+worth&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,4,Fringe,https://trends.google.ca/trends/explore?q=fringe&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,5,Law and order svu,https://trends.google.ca/trends/explore?q=law+and+order+svu&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,6,Snowfall,https://trends.google.ca/trends/explore?q=snowfall&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,7,The blacklist is he her father,https://trends.google.ca/trends/explore?q=the+blacklist+is+he+her+father&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,8,Margarita levieva,https://trends.google.ca/trends/explore?q=margarita+levieva&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,9,Preacher,https://trends.google.ca/trends/explore?q=preacher&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Blacklist,10,Splinter cell conviction,https://trends.google.ca/trends/explore?q=splinter+cell+conviction&date=now+7-d&geo=US,"+4,700%",216,TV Show,2024-10-03
The Blacklist,11,Bazzel baz,https://trends.google.ca/trends/explore?q=bazzel+baz&date=now+7-d&geo=US,"+3,200%",216,TV Show,2024-10-03
The Blacklist,12,The blacklist season 3 episode 18,https://trends.google.ca/trends/explore?q=the+blacklist+season+3+episode+18&date=now+7-d&geo=US,"+3,000%",216,TV Show,2024-10-03
The Blacklist,13,Leslie stefanson,https://trends.google.ca/trends/explore?q=leslie+stefanson&date=now+7-d&geo=US,+450%,216,TV Show,2024-10-03
The Blacklist,14,What kind of websites will the search engine blacklist,https://trends.google.ca/trends/explore?q=what+kind+of+websites+will+the+search+engine+blacklist&date=now+7-d&geo=US,+450%,216,TV Show,2024-10-03
The Blacklist,15,Who is berlin in blacklist,https://trends.google.ca/trends/explore?q=who+is+berlin+in+blacklist&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
The Blacklist,16,The practice,https://trends.google.ca/trends/explore?q=the+practice&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
The Blacklist,17,House of cards,https://trends.google.ca/trends/explore?q=house+of+cards&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
