Query,Line Number,Seed,Link,Rising Value,Date
 The Boys,1,Who plays firecracker in the boys,https://trends.google.ca/trends/explore?q=who+plays+firecracker+in+the+boys&date=now+7-d&geo=CA,Breakout,2024-10-01
 The Boys,2,The brutalist,https://trends.google.ca/trends/explore?q=the+brutalist&date=now+7-d&geo=CA,"+4,300%",2024-10-01
 The Boys,3,The barricade boys,https://trends.google.ca/trends/explore?q=the+barricade+boys&date=now+7-d&geo=CA,"+1,850%",2024-10-01
 The Boys,4,The empty man,https://trends.google.ca/trends/explore?q=the+empty+man&date=now+7-d&geo=CA,+250%,2024-10-01
 The Boys,5,The boys of st vincent,https://trends.google.ca/trends/explore?q=the+boys+of+st+vincent&date=now+7-d&geo=CA,+250%,2024-10-01
 The Boys,6,The billionaires boys club,https://trends.google.ca/trends/explore?q=the+billionaires+boys+club&date=now+7-d&geo=CA,+190%,2024-10-01
 The Boys,7,How many episodes in the boys season 4,https://trends.google.ca/trends/explore?q=how+many+episodes+in+the+boys+season+4&date=now+7-d&geo=CA,+190%,2024-10-01
 The Boys,8,Karahi boys,https://trends.google.ca/trends/explore?q=karahi+boys&date=now+7-d&geo=CA,+150%,2024-10-01
 The Boys,9,Kiefer sutherland,https://trends.google.ca/trends/explore?q=kiefer+sutherland&date=now+7-d&geo=CA,+150%,2024-10-01
 The Boys,10,The mehta boys,https://trends.google.ca/trends/explore?q=the+mehta+boys&date=now+7-d&geo=CA,+130%,2024-10-01
 The Boys,11,The beach boys kokomo,https://trends.google.ca/trends/explore?q=the+beach+boys+kokomo&date=now+7-d&geo=CA,+120%,2024-10-01
 The Boys,12,Corey feldman,https://trends.google.ca/trends/explore?q=corey+feldman&date=now+7-d&geo=CA,+100%,2024-10-01
 The Boys,13,Lana condor,https://trends.google.ca/trends/explore?q=lana+condor&date=now+7-d&geo=CA,+90%,2024-10-01
 The Boys,14,The police boys,https://trends.google.ca/trends/explore?q=the+police+boys&date=now+7-d&geo=CA,+90%,2024-10-01
 The Boys,15,Milkshake brings all the boys to the yard,https://trends.google.ca/trends/explore?q=milkshake+brings+all+the+boys+to+the+yard&date=now+7-d&geo=CA,+80%,2024-10-01
 The Boys,16,Corey haim,https://trends.google.ca/trends/explore?q=corey+haim&date=now+7-d&geo=CA,+80%,2024-10-01
 The Boys,17,Me and the boys meme,https://trends.google.ca/trends/explore?q=me+and+the+boys+meme&date=now+7-d&geo=CA,+80%,2024-10-01
 The Boys,18,When is season 2 of my life with the walter boys coming out,https://trends.google.ca/trends/explore?q=when+is+season+2+of+my+life+with+the+walter+boys+coming+out&date=now+7-d&geo=CA,+80%,2024-10-01
 The Boys,19,My milkshake brings all the boys to the yard,https://trends.google.ca/trends/explore?q=my+milkshake+brings+all+the+boys+to+the+yard&date=now+7-d&geo=CA,+70%,2024-10-01
 The Boys,20,Twilight drive in,https://trends.google.ca/trends/explore?q=twilight+drive+in&date=now+7-d&geo=CA,+70%,2024-10-01
 The Boys,21,Fat boys the pas,https://trends.google.ca/trends/explore?q=fat+boys+the+pas&date=now+7-d&geo=CA,+70%,2024-10-01
 The Boys,22,Give me the beat boys and free my soul,https://trends.google.ca/trends/explore?q=give+me+the+beat+boys+and+free+my+soul&date=now+7-d&geo=CA,+70%,2024-10-01
