Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Conjuring,1,Corpse bride,https://trends.google.ca/trends/explore?q=corpse+bride&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,2,Scream 6,https://trends.google.ca/trends/explore?q=scream+6&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,3,Was the conjuring based on a true story,https://trends.google.ca/trends/explore?q=was+the+conjuring+based+on+a+true+story&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,4,When is the new conjuring coming out,https://trends.google.ca/trends/explore?q=when+is+the+new+conjuring+coming+out&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,5,Scream 7,https://trends.google.ca/trends/explore?q=scream+7&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,6,Insidious 6,https://trends.google.ca/trends/explore?q=insidious+6&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,7,The conjuring 2 2016,https://trends.google.ca/trends/explore?q=the+conjuring+2+2016&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,8,Fear street,https://trends.google.ca/trends/explore?q=fear+street&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,9,Best horror movies of all time,https://trends.google.ca/trends/explore?q=best+horror+movies+of+all+time&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,10,The descent,https://trends.google.ca/trends/explore?q=the+descent&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,11,The craft,https://trends.google.ca/trends/explore?q=the+craft&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,12,Why did mrs. putnam contact tituba?,https://trends.google.ca/trends/explore?q=why+did+mrs.+putnam+contact+tituba?&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,13,Freddy vs jason,https://trends.google.ca/trends/explore?q=freddy+vs+jason&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Conjuring,14,What order to watch the conjuring and annabelle,https://trends.google.ca/trends/explore?q=what+order+to+watch+the+conjuring+and+annabelle&date=now+1-d&geo=US,+400%,154,Movie,2024-10-02
The Conjuring,15,The others,https://trends.google.ca/trends/explore?q=the+others&date=now+1-d&geo=US,+350%,154,Movie,2024-10-02
The Conjuring,16,123movies,https://trends.google.ca/trends/explore?q=123movies&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
The Conjuring,17,Late night with the devil,https://trends.google.ca/trends/explore?q=late+night+with+the+devil&date=now+1-d&geo=US,+250%,154,Movie,2024-10-02
The Conjuring,18,Hocus pocus,https://trends.google.ca/trends/explore?q=hocus+pocus&date=now+1-d&geo=US,+200%,154,Movie,2024-10-02
The Conjuring,19,New conjuring movie 2024,https://trends.google.ca/trends/explore?q=new+conjuring+movie+2024&date=now+1-d&geo=US,+170%,154,Movie,2024-10-02
The Conjuring,20,Bathsheba sherman,https://trends.google.ca/trends/explore?q=bathsheba+sherman&date=now+1-d&geo=US,+150%,154,Movie,2024-10-02
The Conjuring,21,Where to watch the nun,https://trends.google.ca/trends/explore?q=where+to+watch+the+nun&date=now+1-d&geo=US,+150%,154,Movie,2024-10-02
The Conjuring,22,When does the conjuring 4 come out,https://trends.google.ca/trends/explore?q=when+does+the+conjuring+4+come+out&date=now+1-d&geo=US,+140%,154,Movie,2024-10-02
The Conjuring,23,Midsommar,https://trends.google.ca/trends/explore?q=midsommar&date=now+1-d&geo=US,+140%,154,Movie,2024-10-02
The Conjuring,24,The ritual,https://trends.google.ca/trends/explore?q=the+ritual&date=now+1-d&geo=US,+130%,154,Movie,2024-10-02
The Conjuring,25,When did the conjuring come out,https://trends.google.ca/trends/explore?q=when+did+the+conjuring+come+out&date=now+1-d&geo=US,+120%,154,Movie,2024-10-02
