Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Defenders,1,Mike colter,https://trends.google.ca/trends/explore?q=mike+colter&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Defenders,2,Cloak and dagger,https://trends.google.ca/trends/explore?q=cloak+and+dagger&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
The Defenders,3,Daredevil born again,https://trends.google.ca/trends/explore?q=daredevil+born+again&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
The Defenders,4,Krysten ritter,https://trends.google.ca/trends/explore?q=krysten+ritter&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
The Defenders,5,The external layer of the heart,https://trends.google.ca/trends/explore?q=the+external+layer+of+the+heart&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
The Defenders,6,Formed elements also known as platelets,https://trends.google.ca/trends/explore?q=formed+elements+also+known+as+platelets&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
The Defenders,7,Best defenders in the world all time,https://trends.google.ca/trends/explore?q=best+defenders+in+the+world+all+time&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
The Defenders,8,Dragons race to the edge,https://trends.google.ca/trends/explore?q=dragons+race+to+the+edge&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
The Defenders,9,Bakugan defenders of the core,https://trends.google.ca/trends/explore?q=bakugan+defenders+of+the+core&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
The Defenders,10,The bronx defenders,https://trends.google.ca/trends/explore?q=the+bronx+defenders&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
