Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Equalizer,1,Trigger warning,https://trends.google.ca/trends/explore?q=trigger+warning&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
The Equalizer,2,The gray man,https://trends.google.ca/trends/explore?q=the+gray+man&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
The Equalizer,3,The equator,https://trends.google.ca/trends/explore?q=the+equator&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
The Equalizer,4,The equ,https://trends.google.ca/trends/explore?q=the+equ&date=now+7-d&geo=US,"+4,550%",217,Franchise,2024-10-03
The Equalizer,5,Is liza lapira leaving the equalizer,https://trends.google.ca/trends/explore?q=is+liza+lapira+leaving+the+equalizer&date=now+7-d&geo=US,"+2,600%",217,Franchise,2024-10-03
The Equalizer,6,Framed,https://trends.google.ca/trends/explore?q=framed&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
The Equalizer,7,Is marcus leaving the equalizer,https://trends.google.ca/trends/explore?q=is+marcus+leaving+the+equalizer&date=now+7-d&geo=US,+450%,217,Franchise,2024-10-03
The Equalizer,8,Is dante leaving the equalizer,https://trends.google.ca/trends/explore?q=is+dante+leaving+the+equalizer&date=now+7-d&geo=US,+400%,217,Franchise,2024-10-03
The Equalizer,9,Did dante leave the equalizer,https://trends.google.ca/trends/explore?q=did+dante+leave+the+equalizer&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
The Equalizer,10,Is mel leaving the equalizer,https://trends.google.ca/trends/explore?q=is+mel+leaving+the+equalizer&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
The Equalizer,11,Safe house,https://trends.google.ca/trends/explore?q=safe+house&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
The Equalizer,12,The equalizer 3 full movie youtube,https://trends.google.ca/trends/explore?q=the+equalizer+3+full+movie+youtube&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
The Equalizer,13,Is tory kittles leaving the equalizer,https://trends.google.ca/trends/explore?q=is+tory+kittles+leaving+the+equalizer&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
The Equalizer,14,Lopez vs lopez,https://trends.google.ca/trends/explore?q=lopez+vs+lopez&date=now+7-d&geo=US,+150%,217,Franchise,2024-10-03
The Equalizer,15,Ashton sanders,https://trends.google.ca/trends/explore?q=ashton+sanders&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
The Equalizer,16,Queen latifah movies and tv shows,https://trends.google.ca/trends/explore?q=queen+latifah+movies+and+tv+shows&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
The Equalizer,17,The equalizer 3 imdb,https://trends.google.ca/trends/explore?q=the+equalizer+3+imdb&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
The Equalizer,18,When does blue bloods return,https://trends.google.ca/trends/explore?q=when+does+blue+bloods+return&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
The Equalizer,19,Criminal minds,https://trends.google.ca/trends/explore?q=criminal+minds&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
The Equalizer,20,Was the equalizer renewed,https://trends.google.ca/trends/explore?q=was+the+equalizer+renewed&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
The Equalizer,21,High potential,https://trends.google.ca/trends/explore?q=high+potential&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
The Equalizer,22,American gangster,https://trends.google.ca/trends/explore?q=american+gangster&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
The Equalizer,23,Is the equalizer cancelled,https://trends.google.ca/trends/explore?q=is+the+equalizer+cancelled&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
The Equalizer,24,The equalizer streaming netflix,https://trends.google.ca/trends/explore?q=the+equalizer+streaming+netflix&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
The Equalizer,25,Man on fire cast,https://trends.google.ca/trends/explore?q=man+on+fire+cast&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
