Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Exorcist,1,The exorcist 2000,https://trends.google.ca/trends/explore?q=the+exorcist+2000&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,2,I've seen the exorcist 167 times,https://trends.google.ca/trends/explore?q=i've+seen+the+exorcist+167+times&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,3,Shudder,https://trends.google.ca/trends/explore?q=shudder&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,4,Hocus pocus,https://trends.google.ca/trends/explore?q=hocus+pocus&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,5,Evil dead rise,https://trends.google.ca/trends/explore?q=evil+dead+rise&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,6,Speak no evil,https://trends.google.ca/trends/explore?q=speak+no+evil&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,7,I know what you did last summer,https://trends.google.ca/trends/explore?q=i+know+what+you+did+last+summer&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,8,Friday the 13th 1980,https://trends.google.ca/trends/explore?q=friday+the+13th+1980&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,9,Scream 1996,https://trends.google.ca/trends/explore?q=scream+1996&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,10,Fright night,https://trends.google.ca/trends/explore?q=fright+night&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,11,The reincarnation of the strongest exorcist in another world manga,https://trends.google.ca/trends/explore?q=the+reincarnation+of+the+strongest+exorcist+in+another+world+manga&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,12,Why is the exorcist so scary,https://trends.google.ca/trends/explore?q=why+is+the+exorcist+so+scary&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Exorcist,13,Pazuzu,https://trends.google.ca/trends/explore?q=pazuzu&date=now+1-d&geo=US,+350%,217,Franchise,2024-10-02
The Exorcist,14,Ghostbusters,https://trends.google.ca/trends/explore?q=ghostbusters&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
The Exorcist,15,The nun 2,https://trends.google.ca/trends/explore?q=the+nun+2&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
The Exorcist,16,Watch the pope's exorcist,https://trends.google.ca/trends/explore?q=watch+the+pope's+exorcist&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
The Exorcist,17,Coraline,https://trends.google.ca/trends/explore?q=coraline&date=now+1-d&geo=US,+190%,217,Franchise,2024-10-02
The Exorcist,18,Goosebumps,https://trends.google.ca/trends/explore?q=goosebumps&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
The Exorcist,19,The others,https://trends.google.ca/trends/explore?q=the+others&date=now+1-d&geo=US,+150%,217,Franchise,2024-10-02
The Exorcist,20,The exorcist poster,https://trends.google.ca/trends/explore?q=the+exorcist+poster&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
The Exorcist,21,Terrifier,https://trends.google.ca/trends/explore?q=terrifier&date=now+1-d&geo=US,+130%,217,Franchise,2024-10-02
The Exorcist,22,Let this grieving soul retire,https://trends.google.ca/trends/explore?q=let+this+grieving+soul+retire&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
The Exorcist,23,The exorcist parents guide,https://trends.google.ca/trends/explore?q=the+exorcist+parents+guide&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
The Exorcist,24,Trick r treat,https://trends.google.ca/trends/explore?q=trick+r+treat&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
The Exorcist,25,The exorcist the version you've never seen,https://trends.google.ca/trends/explore?q=the+exorcist+the+version+you've+never+seen&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
