Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Fall Guy,1,Mubi,https://trends.google.ca/trends/explore?q=mubi&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Fall Guy,2,Apartment 7a,https://trends.google.ca/trends/explore?q=apartment+7a&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Fall Guy,3,Treasure movie,https://trends.google.ca/trends/explore?q=treasure+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Fall Guy,4,Widow clicquot,https://trends.google.ca/trends/explore?q=widow+clicquot&date=now+7-d&geo=US,"+4,700%",154,Movie,2024-10-03
The Fall Guy,5,Killer heat,https://trends.google.ca/trends/explore?q=killer+heat&date=now+7-d&geo=US,"+1,750%",154,Movie,2024-10-03
The Fall Guy,6,Young woman and the sea,https://trends.google.ca/trends/explore?q=young+woman+and+the+sea&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
The Fall Guy,7,Fight night,https://trends.google.ca/trends/explore?q=fight+night&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
The Fall Guy,8,All of us strangers,https://trends.google.ca/trends/explore?q=all+of+us+strangers&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
The Fall Guy,9,The watchers movie,https://trends.google.ca/trends/explore?q=the+watchers+movie&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
The Fall Guy,10,The fall guy complete series,https://trends.google.ca/trends/explore?q=the+fall+guy+complete+series&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
The Fall Guy,11,Wolves movie,https://trends.google.ca/trends/explore?q=wolves+movie&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
The Fall Guy,12,Wolfs,https://trends.google.ca/trends/explore?q=wolfs&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
The Fall Guy,13,Horizon movie,https://trends.google.ca/trends/explore?q=horizon+movie&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
The Fall Guy,14,Argylle,https://trends.google.ca/trends/explore?q=argylle&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
The Fall Guy,15,It ends with us movie,https://trends.google.ca/trends/explore?q=it+ends+with+us+movie&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
The Fall Guy,16,Jake gyllenhaal,https://trends.google.ca/trends/explore?q=jake+gyllenhaal&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
The Fall Guy,17,The mummy,https://trends.google.ca/trends/explore?q=the+mummy&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
The Fall Guy,18,The watchers,https://trends.google.ca/trends/explore?q=the+watchers&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
The Fall Guy,19,Where was the fall guy filmed,https://trends.google.ca/trends/explore?q=where+was+the+fall+guy+filmed&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
The Fall Guy,20,It ends with us,https://trends.google.ca/trends/explore?q=it+ends+with+us&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
The Fall Guy,21,Ghostbusters frozen empire,https://trends.google.ca/trends/explore?q=ghostbusters+frozen+empire&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
The Fall Guy,22,The killer,https://trends.google.ca/trends/explore?q=the+killer&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
