Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Gilded Age,1,"Why were corporations formed, and how are they run?","https://trends.google.ca/trends/explore?q=why+were+corporations+formed,+and+how+are+they+run?&date=now+7-d&geo=US",Breakout,216,TV Show,2024-10-03
The Gilded Age,2,Brilliant minds,https://trends.google.ca/trends/explore?q=brilliant+minds&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
The Gilded Age,3,Where does the term gilded age come from,https://trends.google.ca/trends/explore?q=where+does+the+term+gilded+age+come+from&date=now+7-d&geo=US,+180%,216,TV Show,2024-10-03
The Gilded Age,4,How did horizontal and vertical integration lead to larger companies?,https://trends.google.ca/trends/explore?q=how+did+horizontal+and+vertical+integration+lead+to+larger+companies?&date=now+7-d&geo=US,+140%,216,TV Show,2024-10-03
The Gilded Age,5,And just like that season 3,https://trends.google.ca/trends/explore?q=and+just+like+that+season+3&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
The Gilded Age,6,When did the gilded age start and end,https://trends.google.ca/trends/explore?q=when+did+the+gilded+age+start+and+end&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
The Gilded Age,7,What did andrew carnegie do,https://trends.google.ca/trends/explore?q=what+did+andrew+carnegie+do&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
The Gilded Age,8,Social darwinism definition us history,https://trends.google.ca/trends/explore?q=social+darwinism+definition+us+history&date=now+7-d&geo=US,+110%,216,TV Show,2024-10-03
The Gilded Age,9,Why did mark twain call it the gilded age,https://trends.google.ca/trends/explore?q=why+did+mark+twain+call+it+the+gilded+age&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
The Gilded Age,10,How long did the gilded age last,https://trends.google.ca/trends/explore?q=how+long+did+the+gilded+age+last&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
The Gilded Age,11,Web dubois,https://trends.google.ca/trends/explore?q=web+dubois&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
The Gilded Age,12,Philanthropy definition,https://trends.google.ca/trends/explore?q=philanthropy+definition&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
The Gilded Age,13,Gilded age fanfiction,https://trends.google.ca/trends/explore?q=gilded+age+fanfiction&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
The Gilded Age,14,Captain of industry definition,https://trends.google.ca/trends/explore?q=captain+of+industry+definition&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
