Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Godfather,1,How old was marlon brando in the godfather,https://trends.google.ca/trends/explore?q=how+old+was+marlon+brando+in+the+godfather&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Godfather,2,The godfather cocktail,https://trends.google.ca/trends/explore?q=the+godfather+cocktail&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Godfather,3,The godfather novel,https://trends.google.ca/trends/explore?q=the+godfather+novel&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Godfather,4,Good fellas,https://trends.google.ca/trends/explore?q=good+fellas&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Godfather,5,A star is born,https://trends.google.ca/trends/explore?q=a+star+is+born&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Godfather,6,The godfather trilogy 4k,https://trends.google.ca/trends/explore?q=the+godfather+trilogy+4k&date=now+1-d&geo=US,Breakout,154,Movie,2024-10-02
The Godfather,7,I robot author,https://trends.google.ca/trends/explore?q=i+robot+author&date=now+1-d&geo=US,+190%,154,Movie,2024-10-02
The Godfather,8,Paramount plus,https://trends.google.ca/trends/explore?q=paramount+plus&date=now+1-d&geo=US,+190%,154,Movie,2024-10-02
The Godfather,9,The godfather plot,https://trends.google.ca/trends/explore?q=the+godfather+plot&date=now+1-d&geo=US,+130%,154,Movie,2024-10-02
The Godfather,10,Mrs maisel nickname,https://trends.google.ca/trends/explore?q=mrs+maisel+nickname&date=now+1-d&geo=US,+130%,154,Movie,2024-10-02
The Godfather,11,The godfather length,https://trends.google.ca/trends/explore?q=the+godfather+length&date=now+1-d&geo=US,+120%,154,Movie,2024-10-02
The Godfather,12,Quotes from the godfather,https://trends.google.ca/trends/explore?q=quotes+from+the+godfather&date=now+1-d&geo=US,+110%,154,Movie,2024-10-02
The Godfather,13,Al martino,https://trends.google.ca/trends/explore?q=al+martino&date=now+1-d&geo=US,+100%,154,Movie,2024-10-02
The Godfather,14,The godfather part 3,https://trends.google.ca/trends/explore?q=the+godfather+part+3&date=now+1-d&geo=US,+90%,154,Movie,2024-10-02
The Godfather,15,Don corleone,https://trends.google.ca/trends/explore?q=don+corleone&date=now+1-d&geo=US,+90%,154,Movie,2024-10-02
The Godfather,16,Robert de niro,https://trends.google.ca/trends/explore?q=robert+de+niro&date=now+1-d&geo=US,+80%,154,Movie,2024-10-02
The Godfather,17,Al capone,https://trends.google.ca/trends/explore?q=al+capone&date=now+1-d&geo=US,+80%,154,Movie,2024-10-02
The Godfather,18,Where can i watch the godfather,https://trends.google.ca/trends/explore?q=where+can+i+watch+the+godfather&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
The Godfather,19,A woman under the influence,https://trends.google.ca/trends/explore?q=a+woman+under+the+influence&date=now+1-d&geo=US,+70%,154,Movie,2024-10-02
The Godfather,20,Godfather part 3,https://trends.google.ca/trends/explore?q=godfather+part+3&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
The Godfather,21,Fredo corleone,https://trends.google.ca/trends/explore?q=fredo+corleone&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
The Godfather,22,The godfather restaurant,https://trends.google.ca/trends/explore?q=the+godfather+restaurant&date=now+1-d&geo=US,+60%,154,Movie,2024-10-02
The Godfather,23,The godfather quotes,https://trends.google.ca/trends/explore?q=the+godfather+quotes&date=now+1-d&geo=US,+50%,154,Movie,2024-10-02
The Godfather,24,Who played the godfather,https://trends.google.ca/trends/explore?q=who+played+the+godfather&date=now+1-d&geo=US,+40%,154,Movie,2024-10-02
