Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Hateful Eight,1,Saltburn cast,https://trends.google.ca/trends/explore?q=saltburn+cast&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,2,Dune 2,https://trends.google.ca/trends/explore?q=dune+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,3,Life of pi,https://trends.google.ca/trends/explore?q=life+of+pi&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,4,Elvis movie,https://trends.google.ca/trends/explore?q=elvis+movie&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,5,Xanadu band,https://trends.google.ca/trends/explore?q=xanadu+band&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,6,Luncheon on the grass,https://trends.google.ca/trends/explore?q=luncheon+on+the+grass&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,7,True romance,https://trends.google.ca/trends/explore?q=true+romance&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,8,Snakes on a plane,https://trends.google.ca/trends/explore?q=snakes+on+a+plane&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Hateful Eight,9,Saltburn,https://trends.google.ca/trends/explore?q=saltburn&date=now+7-d&geo=US,+450%,154,Movie,2024-10-03
The Hateful Eight,10,Rebel ridge,https://trends.google.ca/trends/explore?q=rebel+ridge&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
The Hateful Eight,11,A time to kill,https://trends.google.ca/trends/explore?q=a+time+to+kill&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
The Hateful Eight,12,Kill bill,https://trends.google.ca/trends/explore?q=kill+bill&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
The Hateful Eight,13,There will be blood,https://trends.google.ca/trends/explore?q=there+will+be+blood&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
The Hateful Eight,14,The usual suspects,https://trends.google.ca/trends/explore?q=the+usual+suspects&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
The Hateful Eight,15,The piano lesson,https://trends.google.ca/trends/explore?q=the+piano+lesson&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
The Hateful Eight,16,Paper towns cast,https://trends.google.ca/trends/explore?q=paper+towns+cast&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
The Hateful Eight,17,The hateful eight budget,https://trends.google.ca/trends/explore?q=the+hateful+eight+budget&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
The Hateful Eight,18,The hateful eight imdb,https://trends.google.ca/trends/explore?q=the+hateful+eight+imdb&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
The Hateful Eight,19,Kill bill 2,https://trends.google.ca/trends/explore?q=kill+bill+2&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
The Hateful Eight,20,Samuel l jackson,https://trends.google.ca/trends/explore?q=samuel+l+jackson&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
The Hateful Eight,21,The harder they fall,https://trends.google.ca/trends/explore?q=the+harder+they+fall&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
The Hateful Eight,22,Ridiculous 6,https://trends.google.ca/trends/explore?q=ridiculous+6&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
The Hateful Eight,23,Inglourious basterds,https://trends.google.ca/trends/explore?q=inglourious+basterds&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
The Hateful Eight,24,Django unchained,https://trends.google.ca/trends/explore?q=django+unchained&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
The Hateful Eight,25,Django unchained cast,https://trends.google.ca/trends/explore?q=django+unchained+cast&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
