Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 The Incredible Hulk,1,Thor the dark world,https://trends.google.ca/trends/explore?q=thor+the+dark+world&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 The Incredible Hulk,2,The incredible bulk,https://trends.google.ca/trends/explore?q=the+incredible+bulk&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 The Incredible Hulk,3,Who is mr blue in the incredible hulk,https://trends.google.ca/trends/explore?q=who+is+mr+blue+in+the+incredible+hulk&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 The Incredible Hulk,4,Susan sullivan,https://trends.google.ca/trends/explore?q=susan+sullivan&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 The Incredible Hulk,5,Avengers age of ultron,https://trends.google.ca/trends/explore?q=avengers+age+of+ultron&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 The Incredible Hulk,6,The incredibles 2,https://trends.google.ca/trends/explore?q=the+incredibles+2&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 The Incredible Hulk,7,Débora nascimento,https://trends.google.ca/trends/explore?q=d%C3%A9bora+nascimento&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
 The Incredible Hulk,8,The incredible hulk #180,https://trends.google.ca/trends/explore?q=the+incredible+hulk+%23180&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 The Incredible Hulk,9,The incredible hulk 1982,https://trends.google.ca/trends/explore?q=the+incredible+hulk+1982&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 The Incredible Hulk,10,The incredible hulk trailer,https://trends.google.ca/trends/explore?q=the+incredible+hulk+trailer&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
 The Incredible Hulk,11,Hulk hogan,https://trends.google.ca/trends/explore?q=hulk+hogan&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
 The Incredible Hulk,12,The incredible hulk box office,https://trends.google.ca/trends/explore?q=the+incredible+hulk+box+office&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
 The Incredible Hulk,13,The incredibles cast,https://trends.google.ca/trends/explore?q=the+incredibles+cast&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
 The Incredible Hulk,14,Is the incredible hulk canon,https://trends.google.ca/trends/explore?q=is+the+incredible+hulk+canon&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
 The Incredible Hulk,15,David banner,https://trends.google.ca/trends/explore?q=david+banner&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
 The Incredible Hulk,16,Is the incredible hulk a sequel,https://trends.google.ca/trends/explore?q=is+the+incredible+hulk+a+sequel&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
 The Incredible Hulk,17,Captain brave new world,https://trends.google.ca/trends/explore?q=captain+brave+new+world&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
 The Incredible Hulk,18,Man of steel,https://trends.google.ca/trends/explore?q=man+of+steel&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
 The Incredible Hulk,19,Is the incredible hulk part of the mcu,https://trends.google.ca/trends/explore?q=is+the+incredible+hulk+part+of+the+mcu&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
 The Incredible Hulk,20,The incredibles,https://trends.google.ca/trends/explore?q=the+incredibles&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
 The Incredible Hulk,21,Guardians of the galaxy,https://trends.google.ca/trends/explore?q=guardians+of+the+galaxy&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
 The Incredible Hulk,22,Iron man 1,https://trends.google.ca/trends/explore?q=iron+man+1&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
 The Incredible Hulk,23,Incredibles,https://trends.google.ca/trends/explore?q=incredibles&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
 The Incredible Hulk,24,How tall is the incredible hulk,https://trends.google.ca/trends/explore?q=how+tall+is+the+incredible+hulk&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
 The Incredible Hulk,25,Mcu movies in order,https://trends.google.ca/trends/explore?q=mcu+movies+in+order&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
