Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Kardashians,1,Did the kardashians get canceled,https://trends.google.ca/trends/explore?q=did+the+kardashians+get+canceled&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
The Kardashians,2,Diddy news,https://trends.google.ca/trends/explore?q=diddy+news&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
The Kardashians,3,What ethnicity are the kardashians,https://trends.google.ca/trends/explore?q=what+ethnicity+are+the+kardashians&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
The Kardashians,4,Keeping up with the kardashians cancelled,https://trends.google.ca/trends/explore?q=keeping+up+with+the+kardashians+cancelled&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
The Kardashians,5,Is the kardashians cancelled,https://trends.google.ca/trends/explore?q=is+the+kardashians+cancelled&date=now+1-d&geo=US,+550%,216,TV Show,2024-10-02
The Kardashians,6,The kardashians cancelled,https://trends.google.ca/trends/explore?q=the+kardashians+cancelled&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
The Kardashians,7,Was the kardashians cancelled,https://trends.google.ca/trends/explore?q=was+the+kardashians+cancelled&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
The Kardashians,8,Did the kardashians get cancelled,https://trends.google.ca/trends/explore?q=did+the+kardashians+get+cancelled&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
The Kardashians,9,Are the kardashians cancelled,https://trends.google.ca/trends/explore?q=are+the+kardashians+cancelled&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
The Kardashians,10,Hulu cancel kardashians,https://trends.google.ca/trends/explore?q=hulu+cancel+kardashians&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
The Kardashians,11,Did hulu cancel the kardashians,https://trends.google.ca/trends/explore?q=did+hulu+cancel+the+kardashians&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
The Kardashians,12,Kardashians cancelled,https://trends.google.ca/trends/explore?q=kardashians+cancelled&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
The Kardashians,13,The kardashians hulu,https://trends.google.ca/trends/explore?q=the+kardashians+hulu&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
The Kardashians,14,How old are the kardashians,https://trends.google.ca/trends/explore?q=how+old+are+the+kardashians&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
The Kardashians,15,Kardashians and diddy,https://trends.google.ca/trends/explore?q=kardashians+and+diddy&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
The Kardashians,16,Kendall jenner pregnant the kardashians,https://trends.google.ca/trends/explore?q=kendall+jenner+pregnant+the+kardashians&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
The Kardashians,17,Keeping up with the kardashians hulu,https://trends.google.ca/trends/explore?q=keeping+up+with+the+kardashians+hulu&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
