Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Originals,1,When does freya come into the originals,https://trends.google.ca/trends/explore?q=when+does+freya+come+into+the+originals&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
The Originals,2,What season does cami die in the originals,https://trends.google.ca/trends/explore?q=what+season+does+cami+die+in+the+originals&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
The Originals,3,How did the originals become vampires,https://trends.google.ca/trends/explore?q=how+did+the+originals+become+vampires&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
The Originals,4,Aurora the originals,https://trends.google.ca/trends/explore?q=aurora+the+originals&date=now+1-d&geo=US,+550%,216,TV Show,2024-10-02
The Originals,5,Madelyn cline,https://trends.google.ca/trends/explore?q=madelyn+cline&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
The Originals,6,Pretty little liars,https://trends.google.ca/trends/explore?q=pretty+little+liars&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
The Originals,7,Madelyn cline the originals,https://trends.google.ca/trends/explore?q=madelyn+cline+the+originals&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
The Originals,8,How many seasons of the originals are there,https://trends.google.ca/trends/explore?q=how+many+seasons+of+the+originals+are+there&date=now+1-d&geo=US,+130%,216,TV Show,2024-10-02
The Originals,9,Daniel gillies,https://trends.google.ca/trends/explore?q=daniel+gillies&date=now+1-d&geo=US,+130%,216,TV Show,2024-10-02
The Originals,10,Phoebe tonkin,https://trends.google.ca/trends/explore?q=phoebe+tonkin&date=now+1-d&geo=US,+90%,216,TV Show,2024-10-02
The Originals,11,Klaus mikaelson,https://trends.google.ca/trends/explore?q=klaus+mikaelson&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
The Originals,12,The originals spin off,https://trends.google.ca/trends/explore?q=the+originals+spin+off&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
The Originals,13,When does hayley die in the originals,https://trends.google.ca/trends/explore?q=when+does+hayley+die+in+the+originals&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
The Originals,14,Ian somerhalder,https://trends.google.ca/trends/explore?q=ian+somerhalder&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
