Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Real Housewives,1,Ubah hassan,https://trends.google.ca/trends/explore?q=ubah+hassan&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Real Housewives,2,Jessel taank,https://trends.google.ca/trends/explore?q=jessel+taank&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Real Housewives,3,Sai de silva,https://trends.google.ca/trends/explore?q=sai+de+silva&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
The Real Housewives,4,Dancing with the stars,https://trends.google.ca/trends/explore?q=dancing+with+the+stars&date=now+1-d&geo=US,+500%,217,Franchise,2024-10-02
The Real Housewives,5,Luann de lesseps,https://trends.google.ca/trends/explore?q=luann+de+lesseps&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
The Real Housewives,6,The real housewives of nyc,https://trends.google.ca/trends/explore?q=the+real+housewives+of+nyc&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
The Real Housewives,7,Tamra judge,https://trends.google.ca/trends/explore?q=tamra+judge&date=now+1-d&geo=US,+150%,217,Franchise,2024-10-02
The Real Housewives,8,Real housewives of new york cast,https://trends.google.ca/trends/explore?q=real+housewives+of+new+york+cast&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
The Real Housewives,9,Real housewives of nyc,https://trends.google.ca/trends/explore?q=real+housewives+of+nyc&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
The Real Housewives,10,The real housewives of new york city cast,https://trends.google.ca/trends/explore?q=the+real+housewives+of+new+york+city+cast&date=now+1-d&geo=US,+110%,217,Franchise,2024-10-02
The Real Housewives,11,Jenna lyons,https://trends.google.ca/trends/explore?q=jenna+lyons&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
The Real Housewives,12,The real housewives of miami,https://trends.google.ca/trends/explore?q=the+real+housewives+of+miami&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
The Real Housewives,13,Rebecca minkoff,https://trends.google.ca/trends/explore?q=rebecca+minkoff&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
The Real Housewives,14,Brynn whitfield,https://trends.google.ca/trends/explore?q=brynn+whitfield&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
The Real Housewives,15,Real housewives of new york city,https://trends.google.ca/trends/explore?q=real+housewives+of+new+york+city&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
The Real Housewives,16,The real housewives of new york city,https://trends.google.ca/trends/explore?q=the+real+housewives+of+new+york+city&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
The Real Housewives,17,The real housewives new york,https://trends.google.ca/trends/explore?q=the+real+housewives+new+york&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
The Real Housewives,18,Ryan boyajian,https://trends.google.ca/trends/explore?q=ryan+boyajian&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
The Real Housewives,19,The real housewives of new york,https://trends.google.ca/trends/explore?q=the+real+housewives+of+new+york&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
The Real Housewives,20,Real housewives of new york,https://trends.google.ca/trends/explore?q=real+housewives+of+new+york&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
The Real Housewives,21,Real housewives of new york cast 2024,https://trends.google.ca/trends/explore?q=real+housewives+of+new+york+cast+2024&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
The Real Housewives,22,Rhony,https://trends.google.ca/trends/explore?q=rhony&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
The Real Housewives,23,The real housewives of beverly hills season 14,https://trends.google.ca/trends/explore?q=the+real+housewives+of+beverly+hills+season+14&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
