Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Social Network,1,Christy ling,https://trends.google.ca/trends/explore?q=christy+ling&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,2,Paul in italian,https://trends.google.ca/trends/explore?q=paul+in+italian&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,3,Bakeries and coffee bistros that offer pumpkin-flavored items only during the autumn season target their consumers primarily through ________ segmentation.,https://trends.google.ca/trends/explore?q=bakeries+and+coffee+bistros+that+offer+pumpkin-flavored+items+only+during+the+autumn+season+target+their+consumers+primarily+through+________+segmentation.&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,4,Paul in italian crossword,https://trends.google.ca/trends/explore?q=paul+in+italian+crossword&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,5,Fantastic four,https://trends.google.ca/trends/explore?q=fantastic+four&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,6,Now you see me,https://trends.google.ca/trends/explore?q=now+you+see+me&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,7,The gini coefficient is,https://trends.google.ca/trends/explore?q=the+gini+coefficient+is&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,8,Which of the following consumers are eligible for medicare if other eligibility requirements are met?,https://trends.google.ca/trends/explore?q=which+of+the+following+consumers+are+eligible+for+medicare+if+other+eligibility+requirements+are+met?&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,9,Which of the following is not considered appropriate​ e-mail etiquette?,https://trends.google.ca/trends/explore?q=which+of+the+following+is+not+considered+appropriate%E2%80%8B+e-mail+etiquette?&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,10,Divya narendra net worth,https://trends.google.ca/trends/explore?q=divya+narendra+net+worth&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,11,Se7en,https://trends.google.ca/trends/explore?q=se7en&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,12,On your home computer how can you best establish passwords when creating separate user accounts,https://trends.google.ca/trends/explore?q=on+your+home+computer+how+can+you+best+establish+passwords+when+creating+separate+user+accounts&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
The Social Network,13,Dakota johnson,https://trends.google.ca/trends/explore?q=dakota+johnson&date=now+7-d&geo=US,+700%,154,Movie,2024-10-03
The Social Network,14,Dakota johnson the social network,https://trends.google.ca/trends/explore?q=dakota+johnson+the+social+network&date=now+7-d&geo=US,+650%,154,Movie,2024-10-03
The Social Network,15,Dakota johnson social network,https://trends.google.ca/trends/explore?q=dakota+johnson+social+network&date=now+7-d&geo=US,+600%,154,Movie,2024-10-03
The Social Network,16,Justin timberlake,https://trends.google.ca/trends/explore?q=justin+timberlake&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
The Social Network,17,The social network justin timberlake,https://trends.google.ca/trends/explore?q=the+social+network+justin+timberlake&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
The Social Network,18,Who wrote the social network,https://trends.google.ca/trends/explore?q=who+wrote+the+social+network&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
