Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Super Mario Bros. Movie,1,The wild robot,https://trends.google.ca/trends/explore?q=the+wild+robot&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
The Super Mario Bros. Movie,2,Dog man 2025,https://trends.google.ca/trends/explore?q=dog+man+2025&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
The Super Mario Bros. Movie,3,Jack black movies,https://trends.google.ca/trends/explore?q=jack+black+movies&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
The Super Mario Bros. Movie,4,The menu,https://trends.google.ca/trends/explore?q=the+menu&date=now+7-d&geo=US,+250%,154,Movie,2024-10-01
The Super Mario Bros. Movie,5,The bad guys 2,https://trends.google.ca/trends/explore?q=the+bad+guys+2&date=now+7-d&geo=US,+150%,154,Movie,2024-10-01
The Super Mario Bros. Movie,6,The super mario bros. movie streaming,https://trends.google.ca/trends/explore?q=the+super+mario+bros.+movie+streaming&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
The Super Mario Bros. Movie,7,Minecraft movie,https://trends.google.ca/trends/explore?q=minecraft+movie&date=now+7-d&geo=US,+60%,154,Movie,2024-10-01
The Super Mario Bros. Movie,8,Cast of the super mario bros movie,https://trends.google.ca/trends/explore?q=cast+of+the+super+mario+bros+movie&date=now+7-d&geo=US,+50%,154,Movie,2024-10-01
The Super Mario Bros. Movie,9,The lego movie,https://trends.google.ca/trends/explore?q=the+lego+movie&date=now+7-d&geo=US,+50%,154,Movie,2024-10-01
The Super Mario Bros. Movie,10,Princess peach,https://trends.google.ca/trends/explore?q=princess+peach&date=now+7-d&geo=US,+50%,154,Movie,2024-10-01
The Super Mario Bros. Movie,11,The super mario bros. movie peach,https://trends.google.ca/trends/explore?q=the+super+mario+bros.+movie+peach&date=now+7-d&geo=US,+40%,154,Movie,2024-10-01
