Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
The Voice,1,Who was the voice of gossip girl,https://trends.google.ca/trends/explore?q=who+was+the+voice+of+gossip+girl&date=now+1-d&geo=US,+700%,216,TV Show,2024-10-02
The Voice,2,Oogie boogie voice actor died,https://trends.google.ca/trends/explore?q=oogie+boogie+voice+actor+died&date=now+1-d&geo=US,+550%,216,TV Show,2024-10-02
The Voice,3,Is the voice on tonight tuesday,https://trends.google.ca/trends/explore?q=is+the+voice+on+tonight+tuesday&date=now+1-d&geo=US,+500%,216,TV Show,2024-10-02
The Voice,4,What effect does free verse have on the speaker’s voice and the subject in “song of myself”?,https://trends.google.ca/trends/explore?q=what+effect+does+free+verse+have+on+the+speaker%E2%80%99s+voice+and+the+subject+in+%E2%80%9Csong+of+myself%E2%80%9D?&date=now+1-d&geo=US,+450%,216,TV Show,2024-10-02
The Voice,5,How many seasons of the voice are there,https://trends.google.ca/trends/explore?q=how+many+seasons+of+the+voice+are+there&date=now+1-d&geo=US,+450%,216,TV Show,2024-10-02
The Voice,6,Oogie boogie voice actor,https://trends.google.ca/trends/explore?q=oogie+boogie+voice+actor&date=now+1-d&geo=US,+400%,216,TV Show,2024-10-02
The Voice,7,Who is the voice of oogie boogie,https://trends.google.ca/trends/explore?q=who+is+the+voice+of+oogie+boogie&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
The Voice,8,Oogie boogie voice,https://trends.google.ca/trends/explore?q=oogie+boogie+voice&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
The Voice,9,Voice of oogie boogie,https://trends.google.ca/trends/explore?q=voice+of+oogie+boogie&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
The Voice,10,The voice of oogie boogie,https://trends.google.ca/trends/explore?q=the+voice+of+oogie+boogie&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
The Voice,11,The nightmare before christmas,https://trends.google.ca/trends/explore?q=the+nightmare+before+christmas&date=now+1-d&geo=US,+180%,216,TV Show,2024-10-02
The Voice,12,Princess and the frog,https://trends.google.ca/trends/explore?q=princess+and+the+frog&date=now+1-d&geo=US,+170%,216,TV Show,2024-10-02
