Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 Thor: Love and Thunder,1,Was thor love and thunder a flop,https://trends.google.ca/trends/explore?q=was+thor+love+and+thunder+a+flop&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,2,Jeff goldblum thor love and thunder,https://trends.google.ca/trends/explore?q=jeff+goldblum+thor+love+and+thunder&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,3,Zoe saldana,https://trends.google.ca/trends/explore?q=zoe+saldana&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,4,Spider man homecoming,https://trends.google.ca/trends/explore?q=spider+man+homecoming&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,5,Thor love and thunder synopsis,https://trends.google.ca/trends/explore?q=thor+love+and+thunder+synopsis&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,6,Pom klementieff,https://trends.google.ca/trends/explore?q=pom+klementieff&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,7,Matthew mcconaughey,https://trends.google.ca/trends/explore?q=matthew+mcconaughey&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,8,Who plays the little girl in thor love and thunder,https://trends.google.ca/trends/explore?q=who+plays+the+little+girl+in+thor+love+and+thunder&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,9,When was thor love and thunder released,https://trends.google.ca/trends/explore?q=when+was+thor+love+and+thunder+released&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-01
 Thor: Love and Thunder,10,Thor love and thunder music list,https://trends.google.ca/trends/explore?q=thor+love+and+thunder+music+list&date=now+7-d&geo=US,"+3,900%",154,Movie,2024-10-01
 Thor: Love and Thunder,11,Aquaman,https://trends.google.ca/trends/explore?q=aquaman&date=now+7-d&geo=US,+400%,154,Movie,2024-10-01
 Thor: Love and Thunder,12,Thor love and thunder play actors,https://trends.google.ca/trends/explore?q=thor+love+and+thunder+play+actors&date=now+7-d&geo=US,+200%,154,Movie,2024-10-01
 Thor: Love and Thunder,13,Batman begins,https://trends.google.ca/trends/explore?q=batman+begins&date=now+7-d&geo=US,+190%,154,Movie,2024-10-01
 Thor: Love and Thunder,14,Guardians of the galaxy cast,https://trends.google.ca/trends/explore?q=guardians+of+the+galaxy+cast&date=now+7-d&geo=US,+160%,154,Movie,2024-10-01
 Thor: Love and Thunder,15,Doctor strange in the multiverse of madness,https://trends.google.ca/trends/explore?q=doctor+strange+in+the+multiverse+of+madness&date=now+7-d&geo=US,+140%,154,Movie,2024-10-01
 Thor: Love and Thunder,16,Thor love and thunder love actress,https://trends.google.ca/trends/explore?q=thor+love+and+thunder+love+actress&date=now+7-d&geo=US,+140%,154,Movie,2024-10-01
 Thor: Love and Thunder,17,Knull marvel thor love and thunder,https://trends.google.ca/trends/explore?q=knull+marvel+thor+love+and+thunder&date=now+7-d&geo=US,+120%,154,Movie,2024-10-01
 Thor: Love and Thunder,18,Russell crowe movies,https://trends.google.ca/trends/explore?q=russell+crowe+movies&date=now+7-d&geo=US,+120%,154,Movie,2024-10-01
 Thor: Love and Thunder,19,Ted lasso,https://trends.google.ca/trends/explore?q=ted+lasso&date=now+7-d&geo=US,+120%,154,Movie,2024-10-01
 Thor: Love and Thunder,20,Venom 3,https://trends.google.ca/trends/explore?q=venom+3&date=now+7-d&geo=US,+110%,154,Movie,2024-10-01
 Thor: Love and Thunder,21,Where can i watch thor love and thunder,https://trends.google.ca/trends/explore?q=where+can+i+watch+thor+love+and+thunder&date=now+7-d&geo=US,+110%,154,Movie,2024-10-01
 Thor: Love and Thunder,22,Black widow,https://trends.google.ca/trends/explore?q=black+widow&date=now+7-d&geo=US,+100%,154,Movie,2024-10-01
 Thor: Love and Thunder,23,Guardians of the galaxy 3 cast,https://trends.google.ca/trends/explore?q=guardians+of+the+galaxy+3+cast&date=now+7-d&geo=US,+100%,154,Movie,2024-10-01
 Thor: Love and Thunder,24,Knull thor love and thunder,https://trends.google.ca/trends/explore?q=knull+thor+love+and+thunder&date=now+7-d&geo=US,+90%,154,Movie,2024-10-01
