Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
 Thor: The Dark World ,1,Zachary levi,https://trends.google.ca/trends/explore?q=zachary+levi&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Thor: The Dark World ,2,Thor the dark world summary,https://trends.google.ca/trends/explore?q=thor+the+dark+world+summary&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Thor: The Dark World ,3,Avengers age of ultron,https://trends.google.ca/trends/explore?q=avengers+age+of+ultron&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Thor: The Dark World ,4,Doctor strange,https://trends.google.ca/trends/explore?q=doctor+strange&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
 Thor: The Dark World ,5,The incredible hulk,https://trends.google.ca/trends/explore?q=the+incredible+hulk&date=now+7-d&geo=US,+350%,154,Movie,2024-10-03
 Thor: The Dark World ,6,Mcu movies in order,https://trends.google.ca/trends/explore?q=mcu+movies+in+order&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
 Thor: The Dark World ,7,Thor love and thunder,https://trends.google.ca/trends/explore?q=thor+love+and+thunder&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
 Thor: The Dark World ,8,Thor the dark world release date,https://trends.google.ca/trends/explore?q=thor+the+dark+world+release+date&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
 Thor: The Dark World ,9,Zachary levi thor the dark world,https://trends.google.ca/trends/explore?q=zachary+levi+thor+the+dark+world&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
 Thor: The Dark World ,10,Marvel movies in order,https://trends.google.ca/trends/explore?q=marvel+movies+in+order&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
 Thor: The Dark World ,11,Iron man 3,https://trends.google.ca/trends/explore?q=iron+man+3&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
