Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Thunderbolts (2025),1,Superman legacy,https://trends.google.ca/trends/explore?q=superman+legacy&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Thunderbolts (2025),2,Venom the last dance,https://trends.google.ca/trends/explore?q=venom+the+last+dance&date=now+7-d&geo=US,+500%,154,Movie,2024-10-03
Thunderbolts (2025),3,Upcoming marvel movies,https://trends.google.ca/trends/explore?q=upcoming+marvel+movies&date=now+7-d&geo=US,+400%,154,Movie,2024-10-03
Thunderbolts (2025),4,Avengers doomsday,https://trends.google.ca/trends/explore?q=avengers+doomsday&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Thunderbolts (2025),5,Superman 2025,https://trends.google.ca/trends/explore?q=superman+2025&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Thunderbolts (2025),6,Movies coming out in 2025,https://trends.google.ca/trends/explore?q=movies+coming+out+in+2025&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Thunderbolts (2025),7,Movies coming out in 2024,https://trends.google.ca/trends/explore?q=movies+coming+out+in+2024&date=now+7-d&geo=US,+150%,154,Movie,2024-10-03
Thunderbolts (2025),8,New marvel movies 2025,https://trends.google.ca/trends/explore?q=new+marvel+movies+2025&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Thunderbolts (2025),9,Captain america,https://trends.google.ca/trends/explore?q=captain+america&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Thunderbolts (2025),10,Captain america brave new world,https://trends.google.ca/trends/explore?q=captain+america+brave+new+world&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Thunderbolts (2025),11,Marvel movies,https://trends.google.ca/trends/explore?q=marvel+movies&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Thunderbolts (2025),12,Minecraft movie,https://trends.google.ca/trends/explore?q=minecraft+movie&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Thunderbolts (2025),13,2025 marvel movies,https://trends.google.ca/trends/explore?q=2025+marvel+movies&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Thunderbolts (2025),14,2025 movies,https://trends.google.ca/trends/explore?q=2025+movies&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Thunderbolts (2025),15,Fantastic four 2025,https://trends.google.ca/trends/explore?q=fantastic+four+2025&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Thunderbolts (2025),16,Marvel thunderbolts,https://trends.google.ca/trends/explore?q=marvel+thunderbolts&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Thunderbolts (2025),17,Blade 2025,https://trends.google.ca/trends/explore?q=blade+2025&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
