Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Tomb Raider,1,Rise of the tomb raider geothermal valley challenges,https://trends.google.ca/trends/explore?q=rise+of+the+tomb+raider+geothermal+valley+challenges&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Tomb Raider,2,Movies with alicia vikander,https://trends.google.ca/trends/explore?q=movies+with+alicia+vikander&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Tomb Raider,3,Shadow of the tomb raider review,https://trends.google.ca/trends/explore?q=shadow+of+the+tomb+raider+review&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
Tomb Raider,4,Tomb raider last revelation,https://trends.google.ca/trends/explore?q=tomb+raider+last+revelation&date=now+1-d&geo=US,+200%,217,Franchise,2024-10-02
Tomb Raider,5,Tomb raider anime release date,https://trends.google.ca/trends/explore?q=tomb+raider+anime+release+date&date=now+1-d&geo=US,+190%,217,Franchise,2024-10-02
Tomb Raider,6,Alicia vikander,https://trends.google.ca/trends/explore?q=alicia+vikander&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
Tomb Raider,7,New tomb raider movie,https://trends.google.ca/trends/explore?q=new+tomb+raider+movie&date=now+1-d&geo=US,+100%,217,Franchise,2024-10-02
Tomb Raider,8,Tomb raider 2018 cast,https://trends.google.ca/trends/explore?q=tomb+raider+2018+cast&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
Tomb Raider,9,Tomb raider king,https://trends.google.ca/trends/explore?q=tomb+raider+king&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Tomb Raider,10,Tomb raider costume angelina jolie,https://trends.google.ca/trends/explore?q=tomb+raider+costume+angelina+jolie&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
Tomb Raider,11,Tomb raider netflix release date,https://trends.google.ca/trends/explore?q=tomb+raider+netflix+release+date&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Tomb Raider,12,Tomb raider netflix,https://trends.google.ca/trends/explore?q=tomb+raider+netflix&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
Tomb Raider,13,Tomb raider trilogy,https://trends.google.ca/trends/explore?q=tomb+raider+trilogy&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Tomb Raider,14,Tomb raider definitive edition walkthrough,https://trends.google.ca/trends/explore?q=tomb+raider+definitive+edition+walkthrough&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
Tomb Raider,15,Lara croft tomb raider cast,https://trends.google.ca/trends/explore?q=lara+croft+tomb+raider+cast&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Tomb Raider,16,Jason bourne,https://trends.google.ca/trends/explore?q=jason+bourne&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
Tomb Raider,17,Tomb raider legend of lara croft,https://trends.google.ca/trends/explore?q=tomb+raider+legend+of+lara+croft&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
