Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Toy Story 4,1,Betty white movies and tv shows,https://trends.google.ca/trends/explore?q=betty+white+movies+and+tv+shows&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Toy Story 4,2,"Monsters, inc.","https://trends.google.ca/trends/explore?q=monsters,+inc.&date=now+7-d&geo=US",Breakout,154,Movie,2024-10-03
Toy Story 4,3,Alvin and the the road chip,https://trends.google.ca/trends/explore?q=alvin+and+the+the+road+chip&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Toy Story 4,4,Moana 2 release date,https://trends.google.ca/trends/explore?q=moana+2+release+date&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Toy Story 4,5,June squibb toy story 4,https://trends.google.ca/trends/explore?q=june+squibb+toy+story+4&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
Toy Story 4,6,Toy story 6 release date,https://trends.google.ca/trends/explore?q=toy+story+6+release+date&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Toy Story 4,7,Inside out cast 2,https://trends.google.ca/trends/explore?q=inside+out+cast+2&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Toy Story 4,8,Inside out cast,https://trends.google.ca/trends/explore?q=inside+out+cast&date=now+7-d&geo=US,+170%,154,Movie,2024-10-03
Toy Story 4,9,Ventriloquist,https://trends.google.ca/trends/explore?q=ventriloquist&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Toy Story 4,10,Betty white,https://trends.google.ca/trends/explore?q=betty+white&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Toy Story 4,11,Inside out 2,https://trends.google.ca/trends/explore?q=inside+out+2&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Toy Story 4,12,Inside out,https://trends.google.ca/trends/explore?q=inside+out&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
