Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Transformers: Dark of the Moon,1,Fmovies,https://trends.google.ca/trends/explore?q=fmovies&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Transformers: Dark of the Moon,2,Transformers movies in order to watch,https://trends.google.ca/trends/explore?q=transformers+movies+in+order+to+watch&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Transformers: Dark of the Moon,3,All transformers movies in order,https://trends.google.ca/trends/explore?q=all+transformers+movies+in+order&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Transformers: Dark of the Moon,4,Transformers devastation,https://trends.google.ca/trends/explore?q=transformers+devastation&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
Transformers: Dark of the Moon,5,123movies,https://trends.google.ca/trends/explore?q=123movies&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Transformers: Dark of the Moon,6,Transformers dark of the moon 123movies,https://trends.google.ca/trends/explore?q=transformers+dark+of+the+moon+123movies&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Transformers: Dark of the Moon,7,When did transformers dark of the moon come out,https://trends.google.ca/trends/explore?q=when+did+transformers+dark+of+the+moon+come+out&date=now+7-d&geo=US,+160%,154,Movie,2024-10-03
Transformers: Dark of the Moon,8,Sam witwicky,https://trends.google.ca/trends/explore?q=sam+witwicky&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Transformers: Dark of the Moon,9,Megatronus prime,https://trends.google.ca/trends/explore?q=megatronus+prime&date=now+7-d&geo=US,+140%,154,Movie,2024-10-03
Transformers: Dark of the Moon,10,Patrick dempsey,https://trends.google.ca/trends/explore?q=patrick+dempsey&date=now+7-d&geo=US,+130%,154,Movie,2024-10-03
Transformers: Dark of the Moon,11,John turturro,https://trends.google.ca/trends/explore?q=john+turturro&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Transformers: Dark of the Moon,12,Transformers revenge of the fallen box office,https://trends.google.ca/trends/explore?q=transformers+revenge+of+the+fallen+box+office&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Transformers: Dark of the Moon,13,Where to watch transformers,https://trends.google.ca/trends/explore?q=where+to+watch+transformers&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
Transformers: Dark of the Moon,14,Peter cullen,https://trends.google.ca/trends/explore?q=peter+cullen&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Transformers: Dark of the Moon,15,Transformers dark of the moon video game,https://trends.google.ca/trends/explore?q=transformers+dark+of+the+moon+video+game&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
