Link,Label Text,Rising Value,Line Number
https://trends.google.ca/trends/explore?q=ishowspeed&date=now+7-d&geo=CA,ishowspeed,Breakout,1
https://trends.google.ca/trends/explore?q=kyle+kuzma+philippines&date=now+7-d&geo=CA,kyle kuzma philippines,Breakout,2
https://trends.google.ca/trends/explore?q=ishowspeed+philippines&date=now+7-d&geo=CA,ishowspeed philippines,"+2,450%",3
https://trends.google.ca/trends/explore?q=drag+race+philippines+season+3+episode+6&date=now+7-d&geo=CA,drag race philippines season 3 episode 6,"+1,100%",4
https://trends.google.ca/trends/explore?q=duran+duran+philippines&date=now+7-d&geo=CA,duran duran philippines,+850%,5
https://trends.google.ca/trends/explore?q=olivia+rodrigo&date=now+7-d&geo=CA,olivia rodrigo,+700%,6
https://trends.google.ca/trends/explore?q=power+mac+philippines&date=now+7-d&geo=CA,power mac philippines,+700%,7
https://trends.google.ca/trends/explore?q=olivia+rodrigo+philippines+concert&date=now+7-d&geo=CA,olivia rodrigo philippines concert,+650%,8
https://trends.google.ca/trends/explore?q=philippines+festival+mississauga&date=now+7-d&geo=CA,philippines festival mississauga,+600%,9
https://trends.google.ca/trends/explore?q=olivia+rodrigo+tickets+philippines&date=now+7-d&geo=CA,olivia rodrigo tickets philippines,+600%,10
https://trends.google.ca/trends/explore?q=speed+in+the+philippines&date=now+7-d&geo=CA,speed in the philippines,+500%,11
https://trends.google.ca/trends/explore?q=speed+in+philippines&date=now+7-d&geo=CA,speed in philippines,+450%,12
https://trends.google.ca/trends/explore?q=drag+race+philippines+season+3+episode+6+bilibili&date=now+7-d&geo=CA,drag race philippines season 3 episode 6 bilibili,+400%,13
https://trends.google.ca/trends/explore?q=speed+philippines&date=now+7-d&geo=CA,speed philippines,+250%,14
https://trends.google.ca/trends/explore?q=live+nation+philippines&date=now+7-d&geo=CA,live nation philippines,+250%,15
https://trends.google.ca/trends/explore?q=manny+pacquiao&date=now+7-d&geo=CA,manny pacquiao,+250%,16
https://trends.google.ca/trends/explore?q=philippines+currency+to+usd&date=now+7-d&geo=CA,philippines currency to usd,+190%,17
https://trends.google.ca/trends/explore?q=fruitcake+movie+philippines&date=now+7-d&geo=CA,fruitcake movie philippines,+130%,18
https://trends.google.ca/trends/explore?q=house+of+little+bunny+philippines&date=now+7-d&geo=CA,house of little bunny philippines,+130%,19
https://trends.google.ca/trends/explore?q=sierra+madre+philippines&date=now+7-d&geo=CA,sierra madre philippines,+120%,20
https://trends.google.ca/trends/explore?q=lbc+tracking&date=now+7-d&geo=CA,lbc tracking,+80%,21
https://trends.google.ca/trends/explore?q=h%26m+philippines&date=now+7-d&geo=CA,h&m philippines,+70%,22
https://trends.google.ca/trends/explore?q=cidg+meaning+philippines&date=now+7-d&geo=CA,cidg meaning philippines,+70%,23
https://trends.google.ca/trends/explore?q=how+many+dialects+in+the+philippines&date=now+7-d&geo=CA,how many dialects in the philippines,+70%,24
https://trends.google.ca/trends/explore?q=mercan+philippines&date=now+7-d&geo=CA,mercan philippines,+70%,25
