Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
TRON: Legacy,1,Hulu,https://trends.google.ca/trends/explore?q=hulu&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
TRON: Legacy,2,Blade runner 2049,https://trends.google.ca/trends/explore?q=blade+runner+2049&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
TRON: Legacy,3,Evan peters,https://trends.google.ca/trends/explore?q=evan+peters&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
TRON: Legacy,4,Inception,https://trends.google.ca/trends/explore?q=inception&date=now+7-d&geo=US,Breakout,154,Movie,2024-10-03
TRON: Legacy,5,Tron legacy suit,https://trends.google.ca/trends/explore?q=tron+legacy+suit&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
TRON: Legacy,6,Is tron legacy a sequel,https://trends.google.ca/trends/explore?q=is+tron+legacy+a+sequel&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
TRON: Legacy,7,Jeff bridges movies and tv shows,https://trends.google.ca/trends/explore?q=jeff+bridges+movies+and+tv+shows&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
TRON: Legacy,8,Tron the next day,https://trends.google.ca/trends/explore?q=tron+the+next+day&date=now+7-d&geo=US,+200%,154,Movie,2024-10-03
TRON: Legacy,9,Pacific rim,https://trends.google.ca/trends/explore?q=pacific+rim&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
TRON: Legacy,10,Tron legacy ost,https://trends.google.ca/trends/explore?q=tron+legacy+ost&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
TRON: Legacy,11,Tron legacy actors,https://trends.google.ca/trends/explore?q=tron+legacy+actors&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
TRON: Legacy,12,Disney movies,https://trends.google.ca/trends/explore?q=disney+movies&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
TRON: Legacy,13,Tron legacy release date,https://trends.google.ca/trends/explore?q=tron+legacy+release+date&date=now+7-d&geo=US,+100%,154,Movie,2024-10-03
TRON: Legacy,14,Tron legacy costume,https://trends.google.ca/trends/explore?q=tron+legacy+costume&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
TRON: Legacy,15,Ready player one,https://trends.google.ca/trends/explore?q=ready+player+one&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
TRON: Legacy,16,123movies,https://trends.google.ca/trends/explore?q=123movies&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
TRON: Legacy,17,Tron legacy vinyl,https://trends.google.ca/trends/explore?q=tron+legacy+vinyl&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
TRON: Legacy,18,Blade runner,https://trends.google.ca/trends/explore?q=blade+runner&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
TRON: Legacy,19,Tron costume,https://trends.google.ca/trends/explore?q=tron+costume&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
TRON: Legacy,20,Tron legacy light cycle,https://trends.google.ca/trends/explore?q=tron+legacy+light+cycle&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
TRON: Legacy,21,Tron legacy bike,https://trends.google.ca/trends/explore?q=tron+legacy+bike&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
TRON: Legacy,22,Lego tron legacy,https://trends.google.ca/trends/explore?q=lego+tron+legacy&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
TRON: Legacy,23,Tron legacy ride,https://trends.google.ca/trends/explore?q=tron+legacy+ride&date=now+7-d&geo=US,+50%,154,Movie,2024-10-03
