Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
True Detective,1,True detective season 1 rating,https://trends.google.ca/trends/explore?q=true+detective+season+1+rating&date=now+7-d&geo=US,+600%,216,TV Show,2024-10-01
True Detective,2,Better call saul,https://trends.google.ca/trends/explore?q=better+call+saul&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-01
True Detective,3,Shea whigham,https://trends.google.ca/trends/explore?q=shea+whigham&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-01
True Detective,4,The sinner,https://trends.google.ca/trends/explore?q=the+sinner&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-01
True Detective,5,Deadwood,https://trends.google.ca/trends/explore?q=deadwood&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-01
True Detective,6,The white lotus,https://trends.google.ca/trends/explore?q=the+white+lotus&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-01
True Detective,7,American horror story,https://trends.google.ca/trends/explore?q=american+horror+story&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-01
True Detective,8,Is true detective based on true stories,https://trends.google.ca/trends/explore?q=is+true+detective+based+on+true+stories&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-01
True Detective,9,Twin peaks,https://trends.google.ca/trends/explore?q=twin+peaks&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
True Detective,10,True detective season 1 plot,https://trends.google.ca/trends/explore?q=true+detective+season+1+plot&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
True Detective,11,True detective 2014,https://trends.google.ca/trends/explore?q=true+detective+2014&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
True Detective,12,Criminal minds,https://trends.google.ca/trends/explore?q=criminal+minds&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-01
True Detective,13,How many episodes in true detective season 1,https://trends.google.ca/trends/explore?q=how+many+episodes+in+true+detective+season+1&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
True Detective,14,White lotus,https://trends.google.ca/trends/explore?q=white+lotus&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
True Detective,15,Where was true detective season 1 filmed,https://trends.google.ca/trends/explore?q=where+was+true+detective+season+1+filmed&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
True Detective,16,True detective alexandra episode,https://trends.google.ca/trends/explore?q=true+detective+alexandra+episode&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
True Detective,17,Interstellar,https://trends.google.ca/trends/explore?q=interstellar&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-01
True Detective,18,Barry,https://trends.google.ca/trends/explore?q=barry&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
True Detective,19,Amelia reardon true detective,https://trends.google.ca/trends/explore?q=amelia+reardon+true+detective&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
True Detective,20,Lincoln lawyer,https://trends.google.ca/trends/explore?q=lincoln+lawyer&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
True Detective,21,True detective season 1 rotten tomatoes,https://trends.google.ca/trends/explore?q=true+detective+season+1+rotten+tomatoes&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-01
True Detective,22,True detective season 1 streaming,https://trends.google.ca/trends/explore?q=true+detective+season+1+streaming&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-01
True Detective,23,True detective alexandra daddario episode list,https://trends.google.ca/trends/explore?q=true+detective+alexandra+daddario+episode+list&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-01
True Detective,24,The boys,https://trends.google.ca/trends/explore?q=the+boys&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-01
True Detective,25,The sopranos,https://trends.google.ca/trends/explore?q=the+sopranos&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-01
