Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Vanderpump Rules,1,Eddie cibrian,https://trends.google.ca/trends/explore?q=eddie+cibrian&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Vanderpump Rules,2,Where can i watch vanderpump rules,https://trends.google.ca/trends/explore?q=where+can+i+watch+vanderpump+rules&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Vanderpump Rules,3,Adam brody,https://trends.google.ca/trends/explore?q=adam+brody&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
Vanderpump Rules,4,Lala kent,https://trends.google.ca/trends/explore?q=lala+kent&date=now+1-d&geo=US,+650%,216,TV Show,2024-10-02
Vanderpump Rules,5,Vail bloom vanderpump rules,https://trends.google.ca/trends/explore?q=vail+bloom+vanderpump+rules&date=now+1-d&geo=US,+350%,216,TV Show,2024-10-02
Vanderpump Rules,6,Vail bloom,https://trends.google.ca/trends/explore?q=vail+bloom&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Vanderpump Rules,7,How many seasons of vanderpump rules,https://trends.google.ca/trends/explore?q=how+many+seasons+of+vanderpump+rules&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Vanderpump Rules,8,Summer house,https://trends.google.ca/trends/explore?q=summer+house&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Vanderpump Rules,9,Rhoc,https://trends.google.ca/trends/explore?q=rhoc&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Vanderpump Rules,10,The valley season 2,https://trends.google.ca/trends/explore?q=the+valley+season+2&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Vanderpump Rules,11,Scheana shay,https://trends.google.ca/trends/explore?q=scheana+shay&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Vanderpump Rules,12,Stassi schroeder,https://trends.google.ca/trends/explore?q=stassi+schroeder&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Vanderpump Rules,13,Brittany cartwright,https://trends.google.ca/trends/explore?q=brittany+cartwright&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Vanderpump Rules,14,Vanderpump rules news,https://trends.google.ca/trends/explore?q=vanderpump+rules+news&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Vanderpump Rules,15,Laura leigh vanderpump rules,https://trends.google.ca/trends/explore?q=laura+leigh+vanderpump+rules&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
Vanderpump Rules,16,Katie maloney,https://trends.google.ca/trends/explore?q=katie+maloney&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
